state,election_date,county,precinct,contest_name,votes_for,votes_against,total,pct_for
NC,2022-11-08,UNION,012,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,697,780,1477,47.19
NC,2022-11-08,UNION,013,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,798,845,1643,48.57
NC,2022-11-08,UNION,014,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,368,303,671,54.84
NC,2022-11-08,UNION,015,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,1599,838,2437,65.61
NC,2022-11-08,UNION,016,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,1756,1001,2757,63.69
NC,2022-11-08,UNION,017A,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,1073,715,1788,60.01
NC,2022-11-08,UNION,017B,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,1855,944,2799,66.27
NC,2022-11-08,UNION,018,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,1423,705,2128,66.87
NC,2022-11-08,UNION,019,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,2263,1381,3644,62.1
NC,2022-11-08,UNION,020A,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,2295,1167,3462,66.29
NC,2022-11-08,UNION,020B,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,1775,983,2758,64.36
NC,2022-11-08,UNION,021,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,726,735,1461,49.69
NC,2022-11-08,UNION,022,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,752,852,1604,46.88
NC,2022-11-08,UNION,023,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,608,541,1149,52.92
NC,2022-11-08,UNION,024,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,585,648,1233,47.45
NC,2022-11-08,UNION,025,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,669,450,1119,59.79
NC,2022-11-08,UNION,026,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,651,400,1051,61.94
NC,2022-11-08,UNION,027,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,731,328,1059,69.03
NC,2022-11-08,UNION,028A,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,2127,1033,3160,67.31
NC,2022-11-08,UNION,028B,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,1704,740,2444,69.72
NC,2022-11-08,UNION,028C,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,1585,679,2264,70.01
NC,2022-11-08,UNION,028D,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,1806,968,2774,65.1
NC,2022-11-08,UNION,029A,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,1699,896,2595,65.47
NC,2022-11-08,UNION,029B,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,559,362,921,60.69
NC,2022-11-08,UNION,029C,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,899,536,1435,62.65
NC,2022-11-08,UNION,030,UNION COUNTY GENERAL OBLIGATION SCHOOL BONDS,1386,893,2279,60.82
