state_fips,place_fips5,name,homeown,share65,frac,medinc,pop
01,26992,"Foley city, Alabama",0.6635,0.2610,0.3756,43614,18533
01,77580,"Underwood-Petersville CDP, Alabama",0.6614,0.2041,0.2642,50701,3170
01,32224,"Guin city, Alabama",0.5857,0.2075,0.3873,24444,2684
01,19648,"Daphne city, Alabama",0.7107,0.1655,0.4083,71882,25901
01,70536,"Silverhill town, Alabama",0.8317,0.2744,0.2839,55179,645
01,42016,"Leesburg town, Alabama",0.7270,0.1797,0.0272,50139,946
01,63336,"Rainsville city, Alabama",0.6558,0.1414,0.3542,33295,5041
01,57912,"Panola CDP, Alabama",1.0000,0.0000,0.0000,,39
01,59016,"Penton CDP, Alabama",0.8846,0.8061,0.2999,25530,98
01,59232,"Peterman CDP, Alabama",0.6545,0.5170,0.0000,,147
01,60264,"Pine Level CDP, Alabama",0.9439,0.1086,0.2563,70952,4484
01,62952,"Putnam CDP, Alabama",1.0000,0.0000,0.0000,,45
01,63495,"Ray CDP, Alabama",1.0000,0.4167,0.4530,40909,300
01,63730,"Redland CDP, Alabama",0.9340,0.1253,0.2181,113156,4388
01,64040,"Reeltown CDP, Alabama",0.7304,0.1277,0.5412,30288,274
01,59088,"Perdido Beach town, Alabama",0.9160,0.3968,0.0970,48750,494
01,65784,"Rockville CDP, Alabama",1.0000,0.0000,0.0000,,12
01,67584,"St. Stephens CDP, Alabama",0.7333,0.2585,0.4213,43780,441
01,69672,"Shelby CDP, Alabama",1.0000,0.1073,0.3485,72891,885
01,69978,"Shoal Creek CDP, Alabama",0.8825,0.1541,0.1771,114353,1376
01,70632,"Sims Chapel CDP, Alabama",,,,,
01,72408,"Spring Garden CDP, Alabama",0.5952,0.0000,0.0000,64474,187
01,72672,"Spruce Pine CDP, Alabama",0.3750,0.2360,0.0000,44202,178
01,72720,"Standing Rock CDP, Alabama",0.5345,0.1250,0.0000,51351,168
01,73056,"Sterrett CDP, Alabama",0.9724,0.2149,0.1902,47159,977
01,73152,"Stewartville CDP, Alabama",0.6529,0.2717,0.0182,43233,1634
01,76200,"Tibbie CDP, Alabama",1.0000,0.0000,0.3170,,81
01,76208,"Tidmore Bend CDP, Alabama",0.9432,0.2285,0.1938,51250,1221
01,78120,"Uriah CDP, Alabama",0.5000,0.1069,0.2473,,318
01,78312,"Vandiver CDP, Alabama",0.6256,0.2424,0.1518,23710,949
01,79032,"Vinegar Bend CDP, Alabama",0.6032,0.0261,0.4003,82000,383
01,80736,"Weogufka CDP, Alabama",0.8654,0.0301,0.3732,,299
01,81744,"Whatley CDP, Alabama",1.0000,0.1643,0.1857,,280
01,82104,"White Plains CDP, Alabama",0.7143,0.2612,0.0000,56250,850
01,82176,"Whitesboro CDP, Alabama",0.8611,0.1787,0.1793,48523,2602
01,69240,"Semmes city, Alabama",0.7922,0.2712,0.3415,49234,5284
01,24880,"Excel town, Alabama",0.6946,0.1024,0.2221,66250,1006
01,31912,"Greenville city, Alabama",0.5777,0.1851,0.5262,38004,7589
01,48112,"Meridianville CDP, Alabama",0.8913,0.1477,0.5304,80476,7087
01,63912,"Redstone Arsenal CDP, Alabama",0.0144,0.0354,0.6376,89712,1329
01,40648,"Ladonia CDP, Alabama",0.5660,0.1707,0.4199,32177,3391
01,84096,"York city, Alabama",0.5655,0.1487,0.2205,25202,2529
01,45496,"McKenzie town, Alabama",0.6707,0.1108,0.5123,35625,776
01,16768,"Columbiana city, Alabama",0.6459,0.1533,0.4325,36583,4481
01,13672,"Centreville city, Alabama",0.6505,0.2333,0.3458,43086,2653
01,44728,"Luverne city, Alabama",0.5522,0.2361,0.5740,45671,2770
01,67176,"Rutledge town, Alabama",0.5745,0.1961,0.4187,50125,357
01,83976,"Yellow Bluff town, Alabama",0.5610,0.2524,0.0752,18958,103
01,80928,"West Blocton town, Alabama",0.7288,0.2444,0.2406,33625,1240
01,30736,"Gordo town, Alabama",0.5710,0.1976,0.5616,31466,1660
01,09136,"Brent city, Alabama",0.6616,0.1264,0.5153,34283,4803
01,69000,"Section town, Alabama",0.6915,0.1473,0.0541,32212,971
01,70896,"Skyline town, Alabama",0.8174,0.2218,0.3729,36750,870
01,71900,"South Vinemont town, Alabama",0.3409,0.1287,0.4955,33958,707
01,12160,"Carolina town, Alabama",0.8116,0.1370,0.1061,46250,343
01,64776,"River Falls town, Alabama",0.9187,0.2752,0.4649,34917,585
01,32536,"Gu-Win town, Alabama",0.7308,0.1220,0.3005,30000,123
01,82992,"Winfield city, Alabama",0.6785,0.2152,0.1389,51518,4539
01,06460,"Billingsley town, Alabama",0.7959,0.3010,0.5052,29375,103
01,00484,"Addison town, Alabama",0.7022,0.2198,0.0508,35625,728
01,02500,"Arley town, Alabama",0.7213,0.1341,0.0310,41563,574
01,01396,"Allgood town, Alabama",0.7404,0.1232,0.5022,41667,706
01,66408,"Rosa town, Alabama",0.8507,0.1949,0.2850,55500,431
01,34984,"Hissop CDP, Alabama",1.0000,0.2265,0.6060,30231,415
01,35130,"Hobson CDP, Alabama",0.8654,0.3526,0.0000,,156
01,35512,"Hollins CDP, Alabama",0.9460,0.2911,0.1079,38750,797
01,35536,"Hollis Crossroads CDP, Alabama",0.6125,0.2533,0.3724,45278,679
01,35752,"Holtville CDP, Alabama",0.7177,0.1299,0.2216,63059,4449
01,38032,"Ivalee CDP, Alabama",0.9677,0.1939,0.1755,41250,887
01,42304,"Leroy CDP, Alabama",0.9400,0.1909,0.5144,,964
01,44160,"Lookout Mountain CDP, Alabama",0.9678,0.2001,0.0324,39559,1884
01,45316,"Macedonia CDP, Alabama",0.9589,0.4250,0.3066,,200
01,46192,"Malcolm CDP, Alabama",0.6293,0.0565,0.4999,,354
01,46600,"Marbury CDP, Alabama",0.8482,0.1225,0.2978,44172,1633
01,47848,"Megargel CDP, Alabama",1.0000,1.0000,0.0000,,16
01,48784,"Millerville CDP, Alabama",0.8111,0.0753,0.0000,34286,186
01,52320,"Mount Olive CDP (Coosa County), Alabama",1.0000,0.2263,0.4902,40893,358
01,52344,"Mount Olive CDP (Jefferson County), Alabama",0.9068,0.1846,0.1148,73500,4387
01,52680,"Movico CDP, Alabama",0.1957,0.1395,0.0000,62115,86
01,53208,"Nanafalia CDP, Alabama",1.0000,1.0000,0.3282,,29
01,53232,"Nances Creek CDP, Alabama",0.9719,0.2521,0.0000,54357,476
01,54582,"New Union CDP, Alabama",0.7323,0.3112,0.0562,47188,829
01,57384,"Our Town CDP, Alabama",0.7291,0.1875,0.3783,62019,688
01,59640,"Piedmont city, Alabama",0.7284,0.1932,0.3358,39074,4611
01,37000,"Huntsville city, Alabama",0.5668,0.1613,0.5695,55305,196219
01,57504,"Owens Cross Roads town, Alabama",0.8136,0.1498,0.2599,63654,2069
