unit9,year,ltd_iss_k,ltd_out_k
055007025,2023,5970.0,1197025.0
055007034,2023,42881.0,115920.0
055007014,2023,,67865.0
055007007,2023,,18611.0
055007017,2023,46269.0,157296.0
055009001,2023,,31438.0
055009003,2023,,525.0
055009009,2023,,4835.0
055009601,2023,,43180.0
055009023,2023,,8415.0
055009004,2023,,5669.0
055009024,2023,,26440.0
055010007,2023,,1385.0
055010021,2023,108843.0,653715.0
055010100,2023,,180.0
055010032,2023,,16744.0
055010063,2023,7520.0,36668.0
055010086,2023,,60156.0
055010097,2023,,11045.0
055010703,2023,11500.0,64393.0
055010051,2023,1423.0,54964.0
055010057,2023,11.0,6769.0
055010065,2023,,878.0
055010075,2023,,3130.0
055010103,2023,,3477.0
055010301,2023,9000.0,9490.0
055010303,2023,,23300.0
055010082,2023,,373633.0
055010039,2023,125000.0,883202.0
055010101,2023,15000.0,56248.0
055010036,2023,11900.0,51089.0
055010072,2023,,24185.0
055011020,2023,,9244.0
055011010,2023,,2263.0
055011301,2023,,21989.0
055012019,2023,,125.0
055012040,2023,,1960.0
055012502,2023,,199.0
055012060,2023,,2167.0
055012201,2023,,197.0
055012007,2023,,1277.0
055012022,2023,,2337.0
055012030,2023,,1119.0
055012035,2023,,20742.0
055012041,2023,,23573.0
055012051,2023,,1664.0
055012057,2023,,7058.0
055012301,2023,,81645.0
055012501,2023,,5929.0
055012038,2023,,240.0
055012001,2023,,11233.0
055012012,2023,,4162.0
055012021,2023,,10174.0
055012032,2023,,3294.0
055013019,2023,15.0,8364.0
055013008,2023,17881.0,33677.0
055013010,2023,,8093.0
055013006,2023,,23093.0
055013013,2023,166.0,49926.0
055013025,2023,,338.0
055013011,2023,2347.0,21548.0
055013018,2023,,6091.0
055013026,2023,39.0,5015.0
055013004,2023,,117870.0
055013003,2023,,14977.0
055014011,2023,,2661.0
055014101,2023,,3865.0
055015013,2023,,34463.0
055015020,2023,232.0,35486.0
055015048,2023,,44985.0
055015056,2023,184.0,5423.0
055015058,2023,331.0,27850.0
055015002,2023,6.0,29289.0
055015016,2023,,3294.0
055015019,2023,538.0,11160.0
055015050,2023,,50800.0
055015702,2023,10832.0,53690.0
055015005,2023,,19821.0
055015017,2023,,4290.0
055015022,2023,,31711.0
055015026,2023,,6266.0
055015033,2023,15287.0,49740.0
055015036,2023,,30746.0
055015040,2023,,114036.0
055015044,2023,,11997.0
055015030,2023,,7865.0
055015025,2023,,322876.0
055015035,2023,,4023.0
055015039,2023,196.0,32331.0
055015004,2023,1685.0,109343.0
055016009,2023,,34989.0
055016001,2023,,8416.0
055016018,2023,,26374.0
055016016,2023,,23761.0
055016017,2023,,17779.0
055017010,2023,,2853.0
055017011,2023,273.0,23723.0
055017701,2023,,31789.0
055017007,2023,,20228.0
055017005,2023,8082.0,25554.0
055018016,2023,362.0,8880.0
055019021,2023,,250215.0
055019032,2023,10156.0,575840.0
055019065,2023,,188696.0
055019094,2023,,16179.0
055019007,2023,,184392.0
055019018,2023,,58490.0
055019024,2023,,195858.0
055019026,2023,,113879.0
055019030,2023,63.0,5744.0
055019034,2023,3717.0,258233.0
055019041,2023,,436918.0
055019052,2023,,159202.0
055019057,2023,25000.0,59086.0
055019066,2023,,77670.0
055019071,2023,,57805.0
055019089,2023,,102394.0
055019091,2023,768.0,884602.0
055019107,2023,,127929.0
055019069,2023,11733.0,77718.0
055019008,2023,2090.0,170928.0
055019011,2023,,515771.0
055019016,2023,,21818.0
055019017,2023,2445.0,434939.0
055019027,2023,125000.0,386025.0
055019029,2023,,95728.0
055019031,2023,,83210.0
055019039,2023,,72273.0
055019044,2023,,103713.0
055019048,2023,,118276.0
055019055,2023,,36090.0
055019062,2023,,38994.0
055019072,2023,40000.0,308329.0
055019082,2023,,159374.0
055019092,2023,1178.0,131324.0
055019103,2023,3308.0,263055.0
055019109,2023,,6380.0
055019501,2023,2977.0,501733.0
055019503,2023,618.0,143537.0
055019702,2023,,69740.0
055019803,2023,67054.0,889088.0
055019901,2023,5308.0,807144.0
055019080,2023,,382331.0
055019014,2023,4260.0,179218.0
055019099,2023,104.0,101108.0
055019070,2023,26255.0,1136570.0
055019002,2023,27165.0,233505.0
055019051,2023,,81342.0
055019074,2023,,173620.0
055019098,2023,,86284.0
055019801,2023,125472.0,560610.0
055019010,2023,,77894.0
055019063,2023,,45040.0
055019077,2023,9502.0,360382.0
055019084,2023,,191133.0
055019096,2023,,109981.0
055019104,2023,,119482.0
055019111,2023,,457785.0
055019013,2023,,125513.0
055019502,2023,,359631.0
055019005,2023,,227739.0
055019050,2023,30204.0,99134.0
055019056,2023,,45843.0
055019068,2023,102017.0,275320.0
055019076,2023,,219627.0
055019086,2023,,54944.0
055019097,2023,,33800.0
055019105,2023,,39918.0
055019110,2023,47390.0,128534.0
055019045,2023,,65963.0
055019075,2023,2891.0,75746.0
055019004,2023,,45045.0
055019009,2023,,65374.0
055019042,2023,,55409.0
055019703,2023,,120084.0
055020010,2023,17000.0,22513.0
055020022,2023,,9154.0
055020302,2023,,100660.0
055020019,2023,7175.0,275862.0
055020101,2023,,3553.0
055021012,2023,,65698.0
055021017,2023,133.0,17669.0
055021023,2023,33100.0,56100.0
055021016,2023,,17451.0
055021010,2023,23333.0,535854.0
055021022,2023,95000.0,375571.0
055021005,2023,,33548.0
055021007,2023,,5130.0
055021008,2023,,50273.0
055021025,2023,,76573.0
055021013,2023,,795.0
055021014,2023,,216985.0
055021018,2023,,55665.0
055022001,2023,,21460.0
055023002,2023,7071.0,13086.0
055023008,2023,,51678.0
055023030,2023,,13127.0
055023028,2023,25000.0,80971.0
055023025,2023,,8163.0
055023016,2023,,26234.0
055024011,2023,,5330.0
055024001,2023,,24466.0
055024018,2023,,7451.0
055024002,2023,,4443.0
055024010,2023,,3150.0
055024013,2023,14250.0,28620.0
055024017,2023,,8713.0
055024021,2023,,2842.0
055024023,2023,5290.0,159041.0
055024025,2023,3096.0,8258.0
055024031,2023,1312.0,25772.0
055024901,2023,,1720.0
055024019,2023,,84704.0
055024006,2023,,18226.0
055026005,2023,,61411.0
055027011,2023,,100.0
055027024,2023,,43016.0
055027038,2023,6793.0,65717.0
055027004,2023,51.0,1693.0
055027014,2023,,11475.0
055027019,2023,,160.0
055027022,2023,,31749.0
055027034,2023,86.0,2195.0
055027037,2023,,21661.0
055027301,2023,8000.0,18623.0
055027001,2023,33510.0,122747.0
055027006,2023,,15683.0
055027008,2023,,2680.0
055027012,2023,426.0,35573.0
055027020,2023,467.0,224938.0
055027032,2023,76209.0,216156.0
055027035,2023,,3050.0
055027042,2023,,9421.0
055027015,2023,,46670.0
055027039,2023,,8710.0
055028011,2023,,509748.0
055028013,2023,,3726.0
055028014,2023,1869.0,62860.0
055029007,2023,,17400.0
055029011,2023,,47695.0
055030007,2023,,29082.0
055030023,2023,525.0,54335.0
055030043,2023,20000.0,168450.0
055030006,2023,,47550.0
055030011,2023,3037.0,61752.0
055030017,2023,,524835.0
055030040,2023,,38250.0
055030902,2023,,83890.0
055030031,2023,131250.0,1305188.0
055030015,2023,,197975.0
055030020,2023,886.0,179376.0
055030021,2023,5694.0,269272.0
055030025,2023,,15070.0
055030028,2023,,86530.0
055030033,2023,28652.0,361978.0
055030039,2023,8721.0,429449.0
055030045,2023,,158332.0
055030005,2023,,15702.0
055030009,2023,310.0,39419.0
055030013,2023,,57420.0
055030024,2023,,263129.0
055030003,2023,,264257.0
055030022,2023,,12050.0
055030701,2023,4517.0,331670.0
055030030,2023,,290811.0
055031016,2023,,690.0
055031021,2023,,96734.0
055031024,2023,2308.0,249102.0
055031014,2023,,306230.0
055031022,2023,5296.0,112803.0
055031005,2023,,224.0
055032001,2023,,47870.0
055033703,2023,,244553.0
055033013,2023,,50926.0
055033021,2023,46905.0,413662.0
055033027,2023,,9410.0
055033037,2023,,8495.0
055033003,2023,78000.0,340665.0
055033026,2023,19000.0,209453.0
055033030,2023,8687.0,25970.0
055033034,2023,80000.0,384975.0
055033038,2023,,92760.0
055033701,2023,1112.0,252161.0
055033033,2023,,336333.0
055033004,2023,,51592.0
055033702,2023,,193873.0
055033023,2023,,163313.0
055033042,2023,68096.0,370647.0
055033010,2023,82558.0,661811.0
055033019,2023,30000.0,288525.0
055033029,2023,,410176.0
055033401,2023,,172269.0
055034007,2023,12435.0,119248.0
055034035,2023,220105.0,731033.0
055034017,2023,6603.0,579435.0
055034023,2023,107032.0,428827.0
055034028,2023,,366680.0
055034036,2023,,681169.0
055034701,2023,,483299.0
055034022,2023,,52665.0
055034034,2023,1898.0,114886.0
055034014,2023,132400.0,550608.0
055035008,2023,,62737.0
055036047,2023,,127925.0
055036055,2023,4563.0,138537.0
055036057,2023,1565.0,150265.0
055036007,2023,4379.0,17542.0
055036030,2023,,4330.0
055036048,2023,,22087.0
055036005,2023,,54044.0
055036010,2023,108829.0,647645.0
055036024,2023,,6044.0
055036034,2023,,28338.0
055036045,2023,129.0,50609.0
055036041,2023,30976.0,140809.0
055036022,2023,,283685.0
055036038,2023,,13642.0
055036051,2023,59061.0,1008784.0
055036002,2023,,53943.0
055036012,2023,,692425.0
055036019,2023,20288.0,130256.0
055036025,2023,,92490.0
055036056,2023,,45715.0
055036004,2023,,30189.0
055037001,2023,417.0,6561.0
055037010,2023,,21187.0
055037025,2023,,52956.0
055037035,2023,64847.0,1045468.0
055037011,2023,,5567.0
055037012,2023,,155201.0
055037017,2023,7866.0,202734.0
055037023,2023,,2506.0
055037036,2023,,16460.0
055037038,2023,8775.0,428689.0
055037042,2023,14.0,305.0
055037045,2023,,127807.0
055037048,2023,252339.0,661171.0
055037901,2023,33884.0,2856429.0
055037006,2023,,165044.0
055037007,2023,,30609.0
055037015,2023,1946.0,84463.0
055037019,2023,,18611.0
055037024,2023,1844.0,78180.0
055037029,2023,,35574.0
055037030,2023,58008.0,963062.0
055037037,2023,157.0,32477.0
055037040,2023,,442281.0
055037046,2023,,67154.0
055037043,2023,,91668.0
055037051,2023,,242218.0
055037020,2023,39439.0,859563.0
055037028,2023,,5108.0
055037032,2023,21450.0,290311.0
055037501,2023,6179.0,450462.0
055037004,2023,,22480.0
055037009,2023,983.0,387358.0
055037044,2023,,242948.0
055037026,2023,24262.0,58844.0
055037008,2023,,388296.0
055038001,2023,,1028650.0
055039033,2023,40180.0,261896.0
055039051,2023,,4515.0
055039003,2023,,3580.0
055039017,2023,,22809.0
055039035,2023,,74319.0
055039037,2023,,9075.0
055039059,2023,,513455.0
055039054,2023,,30369.0
055039031,2023,17415.0,128670.0
055039301,2023,,136028.0
055039044,2023,,260345.0
055039040,2023,,355124.0
055040009,2023,45266.0,167811.0
055040043,2023,,33176.0
055040012,2023,,7900.0
055040040,2023,,5144.0
055040301,2023,,5335.0
055040035,2023,92386.0,247661.0
055040302,2023,,91002.0
055040004,2023,234.0,98663.0
055040037,2023,3224.0,9874.0
055040701,2023,,171831.0
055041002,2023,,120070.0
055041012,2023,4882.0,15043.0
055041021,2023,90000.0,283848.0
055041028,2023,150482.0,311944.0
055041001,2023,2882.0,9443.0
055041004,2023,465.0,171102.0
055041006,2023,,22969.0
055041008,2023,36909.0,117565.0
055041010,2023,83966.0,383293.0
055041019,2023,,55000.0
055041020,2023,,95216.0
055041022,2023,,62674.0
055041025,2023,,641197.0
055041027,2023,,419653.0
055041003,2023,7497.0,40704.0
055041005,2023,29385.0,136455.0
055041013,2023,,127965.0
055041015,2023,,46220.0
055041024,2023,157583.0,605365.0
055041023,2023,,114102.0
055041011,2023,,48829.0
055042023,2023,,1295.0
055042024,2023,,47833.0
055042031,2023,,11898.0
055042026,2023,,307456.0
055042014,2023,30000.0,43845.0
055042015,2023,,2685.0
055042021,2023,1112.0,3484.0
055042012,2023,,3862.0
055042010,2023,,3759.0
055042006,2023,,8633.0
055042017,2023,,43907.0
055042501,2023,,85980.0
055042032,2023,,8394.0
055042502,2023,,7587.0
055043008,2023,542.0,241858.0
055043015,2023,210584.0,775903.0
055043035,2023,,30097.0
055043046,2023,30000.0,228791.0
055043006,2023,58000.0,175726.0
055043010,2023,,250548.0
055043013,2023,,148525.0
055043014,2023,,159034.0
055043016,2023,757.0,380902.0
055043033,2023,100000.0,367202.0
055043040,2023,,548541.0
055043045,2023,,52062.0
055043007,2023,43862.0,102927.0
055043011,2023,71770.0,951487.0
055043020,2023,,47.0
055043029,2023,,280872.0
055043037,2023,,47378.0
055043038,2023,8760.0,551018.0
055043004,2023,,86760.0
055043024,2023,,55400.0
055043704,2023,100820.0,179450.0
055043501,2023,14183.0,840138.0
055043027,2023,,22751.0
055043025,2023,,62020.0
055043031,2023,,97621.0
055043042,2023,170000.0,1088048.0
055043703,2023,254644.0,1149099.0
055043036,2023,67650.0,310458.0
055044017,2023,,43379.0
055044013,2023,,208803.0
055044008,2023,,20430.0
055044010,2023,37.0,1140.0
