election_name,jurisdiction_county,gov_unit_name,referendum_type,result,description
1995 Nonpartisan Election,*COOK,Park Ridge Recreational & Park Dist,Bond,Fail,Bond issue
1995 Nonpartisan Election,*CHAMPAIGN,Philo Public Library Dist,Bond,Pass,Library building
1995 Nonpartisan Election,*COOK,Phoenix Park Dist,Bond,Pass,Ext. for payment of principal & interest
1995 Nonpartisan Election,*COOK,Village Of South Chicago Heights,Bond,Pass,Water bonds
1995 Nonpartisan Election,*LEE,Village Of Steward,Bond,Pass,Water bonds
1995 Nonpartisan Election,*LEE,Village Of Steward,Bond,Pass,General obligation
1995 Nonpartisan Election,*DuPAGE,Village Of Villa Park,Bond,Fail,Street and storm sewer improvements
1995 Nonpartisan Election,*LAKE,Mundelein Consolidated High School Dist 120,Bond,Pass,"Build, equip, alter, and repair"
1995 Nonpartisan Election,*LAKE,Mundelein School Dist 75,Bond,Pass,"Build, equip, alter, and repair"
1995 Nonpartisan Election,*DeKALB,Genoa-Kingston Comm Unit School Dist 424,Bond,Fail,Working cash fund
1995 Nonpartisan Election,*COOK,Glencoe School Dist 35,Bond,Pass,Repairs
1995 Nonpartisan Election,*WINNEBAGO,Prairie Hill Comm Unit School Dist 133,Bond,Pass,Building bonds
1995 Nonpartisan Election,"HENRY, *WHITESIDE",Prophetstown-Lyndon Comm Unit School Dist 3,Bond,Fail,Build & equip building or addition
1995 Nonpartisan Election,*DuPAGE,Puffer-Hefty School Dist 69,Bond,Pass,"Build, equip, alter, and repair"
1995 Nonpartisan Election,"BOND, *MADISON, MONTGOMERY",Highland Comm Unit School Dist 5,Bond,Fail,Building and purchase grounds
1995 Nonpartisan Election,"BOND, *MADISON, MONTGOMERY",Highland Comm Unit School Dist 5,Bond,Fail,Build & equip building or addition
1995 Nonpartisan Election,*COOK,Palos Heights Fire Protection Dist,Bond,Pass,"Fire,emergency,rescue vehcls.&/0r equip."
1995 Nonpartisan Election,*LAKE,Kildeer Countryside Consolidated Comm School Dist 96,Bond,Fail,"Build, equip, alter, and repair"
1995 Nonpartisan Election,*COOK,La Grange Park Dist,Bond,Pass,Corporate
1995 Nonpartisan Election,*LAKE,Lake Villa Fire Protection Dist,Bond,Pass,Bond issue
1995 Nonpartisan Election,*LAKE,Lake Zurich Rural Fire Protection Dist,Bond,Pass,Bond issue
1995 Nonpartisan Election,*LaSALLE,Lasalle Dist 122,Bond,Fail,"Build, equip, alter, and repair"
1995 Nonpartisan Election,*COOK,Niles Elementary School Dist 71,Bond,Pass,Repairs
1995 Nonpartisan Election,*COOK,Niles Public Library,Bond,Pass,Repairs
1995 Nonpartisan Election,*COOK,North Riverside Library Dist,Bond,Pass,Library building
1995 Nonpartisan Election,*COOK,Village Of Richton Park,Bond,Fail,Building bonds
1995 Nonpartisan Election,*COOK,City of Des Plaines,Bond,Fail,Building bonds
1995 Nonpartisan Election,"EFFINGHAM, *SHELBY",Stewardson-Strasburg Comm Unit Dist 5A,Bond,Pass,Build & equip building or addition
1995 Nonpartisan Election,*JoDAVIESS,Warren Comm Unit School Dist 205,Bond,Fail,"Build, equip, alter, and repair"
1995 Nonpartisan Election,*LAKE,Warren Township High School Dist 121,Bond,Pass,Build and equip
1995 Nonpartisan Election,"*MONROE, ST. CLAIR",Waterloo Comm Unit School Dist 5,Bond,Fail,Build and equip
1995 Nonpartisan Election,*McHENRY,Cary Park Dist,Bond,Fail,Swimming pool facility
1995 Nonpartisan Election,*LAKE,Round Lake Area Schools - Dist 116,Bond,Fail,"Build, equip, alter, and repair"
1995 Nonpartisan Election,"*DeKALB, KENDALL, LaSALLE",Sandwich Comm Unit School Dist 430,Bond,Pass,Building bonds
1995 Nonpartisan Election,*JoDAVIESS,Scales Mound Comm Unit School Dist 211,Bond,Pass,"Build, equip, alter, and repair"
1995 Nonpartisan Election,*COOK,Schaumburg Township Lib Dist,Bond,Pass,Library building
1995 Nonpartisan Election,"*COOK, LAKE",Village Of Barrington,Bond,Fail,Equipment
1995 Nonpartisan Election,"*HENRY, KNOX, MERCER",Alwood Comm Unit School Dist 225,Bond,Pass,Build and equip
1995 Nonpartisan Election,"COLES, *DOUGLAS",Arcola Comm Unit School Dist 306,Bond,Pass,"Build, equip, alter, and repair"
1995 Nonpartisan Election,"*FULTON, SCHUYLER",Astoria Comm Unit School Dist 1,Bond,Pass,Working cash fund
1995 Nonpartisan Election,"COOK, KANE, *LAKE, McHENRY",Barrington Comm Unit School Dist 220,Bond,Fail,"Build, equip, alter, and repair"
1995 Nonpartisan Election,*DuPAGE,Benjamin School Dist 25,Bond,Pass,"Build, equip, alter, and repair"
1995 Nonpartisan Election,*COOK,City of Northlake,Bond,Fail,Repair/replace sidewalks
1995 Nonpartisan Election,*COOK,Sunnybrook School Dist 171,Bond,Pass,Build & equip building or addition
1995 Nonpartisan Election,"CUMBERLAND, *EFFINGHAM, SHELBY",Teutopolis Comm Unit School Dist 50,Bond,Pass,Building bonds
1995 Nonpartisan Election,*COOK,Lincolnwood Library Dist,Bond,Pass,Bond issue
1995 Nonpartisan Election,*WABASH,Little Wabash Fire Protection Dist,Bond,Pass,Join fire district (Compton Pct Only)
1995 Nonpartisan Election,*DuPAGE,Darien-Woodridge Fire Protection Dist,Bond,Pass,Merge fire districts
1995 Nonpartisan Election,"CLAY, CUMBERLAND, *EFFINGHAM, JASPER",Dieterich Comm Unit School Dist 30,Bond,Pass,Building bonds
1995 Nonpartisan Election,*DuPAGE,Village Of Downers Grove,Bond,Fail,Library improvements
1995 Nonpartisan Election,*DuPAGE,"Clarendon Heights Fire Protection Dist, Tri-state Fire Protection Dist",Bond,Pass,Merge fire districts
1995 Nonpartisan Election,*WILLIAMSON,Crab Orchard Comm Unit School Dist 3,Bond,Fail,Teacher's retirement fund
1995 Nonpartisan Election,"*JACKSON, PERRY, RANDOLPH",Trico Comm Unit School Dist 176,Bond,Fail,"Build, equip, alter, and repair"
1995 Nonpartisan Election,*DuPAGE,Medinah School Dist 11,Bond,Fail,"Build, equip, alter, and repair"
1995 Nonpartisan Election,*WILL,Monee Fire Protection Dist,Bond,Pass,Ambulance service
1995 Nonpartisan Election,*JEFFERSON,Webber Township High School Dist 204,Bond,Fail,Build & equip building or addition
1995 Nonpartisan Election,"*CLINTON, ST. CLAIR",Wesclin Comm Unit School Dist 3,Bond,Fail,"Build, equip, alter, and repair"
1995 Nonpartisan Election,*McLEAN,City of Leroy,Bond,Pass,Sewer improvements
1995 Nonpartisan Election,*ST. CLAIR,City of Mascoutah,Bond,Pass,Expansion
1995 Nonpartisan Election,*LAKE,Woodland Consolidated Comm School Dist 50,Bond,Pass,Build and equip
1995 Nonpartisan Election,*McHENRY,Woodstock Comm Unit School Dist 200,Bond,Pass,Building bonds
1995 Nonpartisan Election,"KANE, *KENDALL",Yorkville Comm Unit School Dist 115,Bond,Fail,Building bonds
1995 Nonpartisan Election,*McHENRY,Marengo Park Dist,Bond,Pass,Swimming pool facility
1995 Nonpartisan Election,*COOK,Village Of Worth,Bond,Pass,Recreation area
1995 Nonpartisan Election,*COOK,Country Club Fire Protection Dist,Bond,Pass,"Fire,emergency,rescue vehcls.&/0r equip."
1995 Nonpartisan Election,"*COOK, LAKE",Indian Trails Public Library Dist,Bond,Pass,Repairs
1995 Nonpartisan Election,*KANE,Kane County,Bond,Fail,Public safety question
1995 Nonpartisan Election,*ST. CLAIR,Grant Comm Consolidated School Dist 110,Bond,Fail,Build & equip building or addition
1996 General Election,"*CHRISTIAN, MONTGOMERY, SHELBY",Pana Comm Unit School Dist 8,Bond,Fail,"Build, equip, alter, and repair"
1996 General Election,*COOK,Park Ridge Recreational & Park Dist,Bond,Pass,Swimming pool facility
1996 General Election,*COOK,Park Ridge Recreational & Park Dist,Bond,Fail,Purchase real estate
1996 General Election,*WILL,Plainfield Township Park Dist,Bond,Fail,Purchases of property or equipment
1996 General Election,*SHELBY,Village Of Strasburg,Bond,Pass,Revenue bonds
1996 General Election,*SHELBY,Village Of Strasburg,Bond,Pass,Alternate bonds
1996 General Election,*KANE,Dundee Township,Bond,Pass,Finance development of open space land
1996 General Election,*PEORIA,Dunlap Comm Unit School Dist 323,Bond,Pass,Building bonds
1996 General Election,"CLAY, *EFFINGHAM",Effingham Comm Unit School Dist 40,Bond,Pass,"Build, equip, alter, and repair"
1996 General Election,"*CARROLL, JoDAVIESS",Mt Carroll Comm Unit School Dist 304,Bond,Pass,Build and equip
1996 General Election,*WILL,New Lenox School Dist 122,Bond,Pass,Building bonds
1996 General Election,*LAKE,Fremont School Dist 79,Bond,Pass,Build and equip
1996 General Election,*COOK,Village Of Glencoe,Bond,Pass,Street improvements (1 - $6 Million)
1996 General Election,*COOK,Village Of Glencoe,Bond,Pass,"Street improvements (2 - $2,600,000)"
1996 General Election,*COOK,Village Of Indian Head Park,Bond,Pass,Street improvements
1996 General Election,"*LOGAN, TAZEWELL",Hartsburg-Emden Comm Unit School Dist 21,Bond,Pass,"Build, equip, alter, and repair"
1996 General Election,*HENRY,Henry County,Bond,Pass,Build courts building
1996 General Election,"BOND, *MADISON, MONTGOMERY",Highland Comm Unit School Dist 5,Bond,Fail,"Build, equip, alter, and repair"
1996 General Election,"COOK, *DuPAGE",Hinsdale Comm Consolidated School Dist 181,Bond,Fail,Build and equip
1996 General Election,*COOK,Village Of Lincolnwood,Bond,Pass,"Water and/or sewer projects ($4,500,000)"
1996 General Election,*COOK,Village Of Lincolnwood,Bond,Pass,"Street improvements ($6,000,000)"
1996 General Election,*OGLE,Oregon Comm Unit School Dist 220,Bond,Fail,Building bonds
1996 General Election,*KANE,Village Of Maple Park,Bond,Pass,Sewage system
1996 General Election,*COOK,Village Of Matteson,Bond,Pass,Build village hall
1996 General Election,*WILL,Village Of Mokena,Bond,Fail,Water bonds
1996 General Election,*ST. CLAIR,Northwest St Clair Co Fire Protection Dist,Bond,Pass,Bond issue
1996 General Election,"*COOK, WILL",Village Of Orland Park,Bond,Fail,Recreational facility
1996 General Election,*ST. CLAIR,Shiloh Village School Dist 85,Bond,Pass,"Build, equip, alter, and repair"
1996 General Election,*ST. CLAIR,Smithton Comm Consolidated School Dist 130,Bond,Fail,Build & equip building or addition
1996 General Election,*COOK,South Palos Township Sanitary Dist,Bond,Pass,Sewer improvements
1996 General Election,*OGLE,Brookville Township,Bond,Fail,Road extension and/or maintenance
1996 General Election,*COOK,Calumet Public Schools Dist 132,Bond,Pass,Build and equip
1996 General Election,*HANCOCK,Carthage Comm Unit School Dist 338,Bond,Fail,Build and equip
1996 General Election,*MADISON,Roxana Comm Unit School Dist 1,Bond,Fail,Paying claims
1996 General Election,*COOK,Sandridge Elementary School Dist 1722,Bond,Pass,Build and equip
1996 General Election,*SHELBY,Shelbyville Comm Unit School Dist 4,Bond,Fail,Build & equip building or addition
1996 General Election,"LaSALLE, LIVINGSTON, MARSHALL, *WOODFORD",Fieldcrest Comm Unit School Dist 6,Bond,Fail,Building bonds
1996 General Election,"COOK, *DuPAGE",Village Of Burr Ridge,Bond,Pass,Water bonds
1996 General Election,*WHITESIDE,City of Prophetstown,Bond,Fail,Building bonds
1996 General Election,*CUMBERLAND,Cumberland Comm Unit School Dist 77,Bond,Pass,"Build, equip, alter, and repair"
1996 General Election,*JACKSON,Desoto Consolidated School Dist 86,Bond,Fail,Build & equip building or addition
1996 General Election,*VERMILION,Village Of Fairmount,Bond,Fail,Sewer improvements
1996 General Election,*RANDOLPH,City of Sparta,Bond,Pass,General obligation
1996 General Election,*RANDOLPH,City of Sparta,Bond,Pass,Alternate bonds
1996 General Election,*BUREAU,City of Spring Valley,Bond,Fail,Building bonds
1996 General Election,"FORD, IROQUOIS, KANKAKEE, *LIVINGSTON",Tri-Point Comm Unit School Dist 6-J,Bond,Fail,Building bonds
1996 General Election,"COOK, *WILL",Mokena Comm Park Dist,Bond,Pass,Purchases of property or equipment
1996 General Election,*BOND,City of Greenville,Bond,Fail,General obligation
1996 General Election,*BOND,City of Greenville,Bond,Fail,Recreational facility
1996 General Election,*LaSALLE,City of Marseilles,Bond,Fail,Street and storm sewer improvements
1996 General Election,*DuPAGE,Center Cass School Dist 66,Bond,Fail,"Build, equip, alter, and repair"
1996 General Election,*COOK,Central Stickney Fire Protection Dist,Bond,Pass,Ambulance service
1996 General Election,*BUREAU,Cherry Fire Protection Dist,Bond,Pass,Fire truck purchase
1996 General Election,*COOK,Winnetka School Dist 36,Bond,Pass,Repairs
1996 General Election,*McHENRY,Woodstock Comm Unit School Dist 200,Bond,Pass,Building bonds
1996 General Election,*CHAMPAIGN,Mahomet Public Library Dist,Bond,Fail,Construct new building
1996 General Election,"DeWITT, *MACON",Maroa-Forsyth Comm Unit School Dist 2,Bond,Fail,Building bonds
1996 General Election,"*MACOUPIN, MONTGOMERY, SANGAMON",Virden Comm Unit School Dist 4,Bond,Pass,Build & equip building or addition
1996 General Election,"CLAY, EFFINGHAM, *JASPER, RICHLAND",Jasper Unit School Dist 1,Bond,Fail,Bond issue
1996 General Election,"DeKALB, *KANE",Kaneland Comm Unit School Dist 302,Bond,Fail,"Build, equip, alter, and repair"
1996 General Election,*COOK,River Forest Park Dist,Bond,Pass,Purchase real estate
1996 General Election,*CITY OF ROCKFORD,Rockford,Bond,Pass,Stormwater management
1996 General Primary,*TAZEWELL,Pekin High School Dist 303,Bond,Pass,Building bonds
1996 General Primary,*CHAMPAIGN,Village Of Tolono,Bond,Fail,Water bonds
1996 General Primary,*COOK,Dolton School Dist 148,Bond,Pass,Bond issue
1996 General Primary,*DuPAGE,Downers Grove Park Dist,Bond,Pass,Acquisition of property
1996 General Primary,*DuPAGE,DuPage County Comm High School Dist 94,Bond,Fail,"Build, equip, alter, and repair"
1996 General Primary,"MONROE, *ST. CLAIR",New Athens Comm Unit School Dist 60,Bond,Pass,Build & equip building or addition
1996 General Primary,*WILL,New Lenox School Dist 122,Bond,Fail,Building bonds
1996 General Primary,*WILL,Frankfort Township,Bond,Pass,Senior citizens housing
1996 General Primary,*ST. CLAIR,Freeburg Comm High School Dist 77,Bond,Pass,Build & equip building or addition
1996 General Primary,"*HENRY, WHITESIDE",Geneseo Comm Unit School Dist 228,Bond,Pass,Build & equip building or addition
1996 General Primary,"CASS, *MENARD, SANGAMON",Porta Comm Unit School Dist 202,Bond,Pass,Building bonds
1996 General Primary,*HENRY,Henry County,Bond,Fail,General obligation
1996 General Primary,"COOK, *DuPAGE",Hinsdale Comm Consolidated School Dist 181,Bond,Fail,Build and equip
1996 General Primary,*OGLE,Village Of Leaf River,Bond,Pass,Street improvements
1996 General Primary,*LAKE,Oak Grove School Dist 68,Bond,Pass,Build & equip building or addition
1996 General Primary,*COOK,Oak Park And River Forest School Dist 200,Bond,Pass,Bond issue
1996 General Primary,*LaSALLE,La Salle Elementary Grade School Dist 122,Bond,Pass,"Build, equip, alter, and repair"
1996 General Primary,*LAKE,Lake Villa Public Library Dist,Bond,Pass,Build & equip building or addition
1996 General Primary,"DeKALB, *LEE, OGLE",Lee Center Comm Unit School Dist 271,Bond,Fail,"Build, equip, alter, and repair"
1996 General Primary,*COOK,Lemont Public Library Dist,Bond,Pass,Bond issue
1996 General Primary,"BOONE, *WINNEBAGO",North Suburban Library Dist,Bond,Pass,Building bonds
1996 General Primary,"LOGAN, *MACON",Warrensburg-Latham Comm Unit School Dist 11,Bond,Pass,Building bonds
1996 General Primary,*CHAMPAIGN,Carroll Fire Protection Dist,Bond,Pass,Fire station improvements
1996 General Primary,*HANCOCK,Carthage Park Dist,Bond,Pass,Swimming pool facility
1996 General Primary,"*HENDERSON, WARREN","Roseville, Swan, Pt. Pleasant, And Ellison Fire Protection Dist",Bond,Pass,Issue bonds Ellison Fire Protection Dist
1996 General Primary,*LAKE,Round Lake Area Schools - Dist 116,Bond,Pass,Build & equip building or addition Comm Unit School Dist 116
1996 General Primary,"JEFFERSON, *MARION",Salem Comm High School Dist 600,Bond,Pass,Build & equip building or addition
1996 General Primary,"GRUNDY, *LaSALLE",Seneca Cc Grade School Dist 170,Bond,Pass,Build & equip building or addition
1996 General Primary,*LAKE,Bannockburn School Dist 106,Bond,Pass,Build & equip building or addition
1996 General Primary,"COOK, KANE, *LAKE, McHENRY",Barrington Comm Unit School Dist 220,Bond,Fail,"Build, equip, alter, and repair"
1996 General Primary,*ST. CLAIR,Belleville School Dist 118,Bond,Pass,Build & equip building or addition
1996 General Primary,*CITY OF ROCKFORD,City of Rockford,Bond,Pass,Street and storm sewer improvements
1996 General Primary,*COOK,Lemont Township High School Dist 210,Bond,Pass,Bond issue
1996 General Primary,*MONTGOMERY,Litchfield Park Dist,Bond,Pass,Repairs
1996 General Primary,*McHENRY,Crystal Lake Park Dist,Bond,Pass,Renovate or build new
1996 General Primary,*DuPAGE,Village Of Downers Grove Library,Bond,Pass,Remodel and/or build addition to bldg(s)
1996 General Primary,*LAKE,City of Zion,Bond,Pass,Remove/demolish structures
1996 General Primary,*LAKE,Milburn Consolidated Comm School Dist 24,Bond,Pass,Build & equip building or addition
1996 General Primary,"COOK, *WILL",Mokena Comm Park,Bond,Fail,Purchases of property or equipment
1996 General Primary,"*CLINTON, ST. CLAIR",Wesclin Comm Unit School Dist 3,Bond,Fail,Building bonds
1996 General Primary,*DuPAGE,Woodridge School Dist 68,Bond,Pass,"Build, equip, alter, and repair"
1996 General Primary,*McHENRY,Woodstock Comm Unit School Dist 200,Bond,Fail,Building bonds
1996 General Primary,"KANE, *KENDALL",Yorkville Comm Unit School Dist 115,Bond,Pass,"Build, equip, alter, and repair"
1996 General Primary,*CLARK,Marshall Comm Unit School Dist 2C,Bond,Pass,Building bonds
1996 General Primary,*ST. CLAIR,Grant Comm Consolidated School Dist 110,Bond,Fail,Build & equip building or addition
1996 General Primary,"LIVINGSTON, *McLEAN",Gridley Comm Unit School Dist 10,Bond,Fail,Building bonds
1996 General Primary,"DeKALB, LEE, *OGLE",Rochelle Township High School Dist 212,Bond,Fail,Build and equip
1997 Consolidated Election,*COOK,Park Ridge Consolidated Comm School Dist 64,Bond,Pass,Bond issue
1997 Consolidated Election,"KANKAKEE, *WILL",Peotone Comm Unit School Dist 207U,Bond,Fail,Building bonds
1997 Consolidated Election,*DuPAGE,DuPage County Comm High School Dist 99,Bond,Fail,"Build, equip, alter, and repair"
1997 Consolidated Election,*PERRY,Duquoin Comm Unit School Dist 300,Bond,Pass,Build and equip
1997 Consolidated Election,*ROCK ISLAND,East Moline School Dist 37,Bond,Fail,Building bonds
1997 Consolidated Election,*WASHINGTON,Nashville Consolidated Comm School Dist 49,Bond,Pass,Building bonds
1997 Consolidated Election,*FRANKLIN,Frankfort Comm Park Dist,Bond,Pass,"Swimming pool facility ($395,000)"
1997 Consolidated Election,"*MACOUPIN, MONTGOMERY",Girard Comm Unit School Dist 3,Bond,Pass,Working cash fund
1997 Consolidated Election,*SANGAMON,Village Of Grandview,Bond,Fail,"Street and storm sewer improvements ($350,000)"
1997 Consolidated Election,*SANGAMON,Village Of Grandview,Bond,Fail,"Street and storm sewer improvements ($500,000)"
1997 Consolidated Election,"MENARD, MORGAN, *SANGAMON",Pleasant Plains Comm Unit School Dist 8,Bond,Fail,Build and equip
1997 Consolidated Election,*LIVINGSTON,Pontiac Township High School Dist 90,Bond,Pass,Building bonds
1997 Consolidated Election,*McHENRY,Prairie Grove Consolidated School Dist 46,Bond,Pass,Build and equip
1997 Consolidated Election,*LAKE,Hawthorn Consolidated Comm School Dist 73,Bond,Pass,"Build, equip, alter, and repair"
1997 Consolidated Election,"CARROLL, JoDAVIESS, OGLE, *STEPHENSON",Highland Comm College Dist 519,Bond,Pass,Equipment
1997 Consolidated Election,"BOND, *MADISON, MONTGOMERY",Highland Comm Unit School Dist 5,Bond,Fail,"Build, equip, alter, and repair"
1997 Consolidated Election,*ST. CLAIR,O'Fallon Comm Consolidated School Dist 90,Bond,Pass,Build and equip
1997 Consolidated Election,"KANE, *KENDALL, WILL",Oswego Comm Unit School Dist 308,Bond,Fail,"Build, equip, alter, and repair"
1997 Consolidated Election,*COOK,Village Of Merrionette Park,Bond,Pass,"Fire,emergency,rescue vehcls.&/0r equip."
1997 Consolidated Election,*HENRY,Kewanee Park Dist,Bond,Pass,Swimming pool facility
1997 Consolidated Election,*LAKE,Lake Bluff Park Dist,Bond,Fail,Community facility
1997 Consolidated Election,*DuPAGE,Lake Park Comm High School Dist 108,Bond,Fail,Swimming pool facility
1997 Consolidated Election,"OGLE, *WINNEBAGO",New Milford Fire Protection Dist,Bond,Pass,Building bonds
1997 Consolidated Election,*LAKE,North Shore School Dist 112,Bond,Pass,"Build, equip, alter, and repair"
1997 Consolidated Election,*COOK,Village Of Northbrook,Bond,Pass,Library question
1997 Consolidated Election,*KANE,City of Geneva,Bond,Pass,Acquisition of property
1997 Consolidated Election,*ST. CLAIR,Smithton Comm Consolidated School Dist 130,Bond,Pass,Build and equip
1997 Consolidated Election,"IROQUOIS, *KANKAKEE",St Anne Comm High School Dist 302,Bond,Fail,Bond issue
1997 Consolidated Election,"*CHAMPAIGN, VERMILION",St Joseph-Ogden High School Dist 305,Bond,Pass,Working cash fund
1997 Consolidated Election,*JoDAVIESS,Stockton CUSD 206,Bond,,Working cash fund
1997 Consolidated Election,"*MONROE, ST. CLAIR",Waterloo Comm Unit School Dist 5,Bond,Fail,"Build, equip, alter, and repair"
1997 Consolidated Election,*MADISON,Roxana Comm Unit School Dist 1,Bond,Fail,Working cash fund
1997 Consolidated Election,*FAYETTE,Fayette County,Bond,Fail,Courthouse repairs and/or maintenance
1997 Consolidated Election,*SANGAMON,Ball-Chatham Comm Unit School Dist 5,Bond,Fail,Build and equip
1997 Consolidated Election,"COOK, KANE, *LAKE, McHENRY",Barrington Comm Unit School Dist 220,Bond,Pass,"Build, equip, alter, and repair"
1997 Consolidated Election,"ADAMS, *PIKE",Barry Comm Unit School Dist 1,Bond,Fail,"Build, equip, alter, and repair"
1997 Consolidated Election,*WILL,Beecher Comm Unit School Dist 200U,Bond,Fail,Building bonds
1997 Consolidated Election,"*BOONE, DeKALB, McHENRY",Belvidere Comm Unit School Dist 100,Bond,Fail,Building bonds
1997 Consolidated Election,*BOONE,City of Belvidere,Bond,Fail,General obligation
1997 Consolidated Election,*CITY OF ROCKFORD,City of Rockford,Bond,Pass,Street and storm sewer improvements
1997 Consolidated Election,"*DeKALB, KANE",Sycamore Comm Unit School Dist 427,Bond,Pass,"Build, equip, alter, and repair"
1997 Consolidated Election,*WINNEBAGO,Village Of Durand,Bond,Fail,Sewer improvements
1997 Consolidated Election,"*CLINTON, ST. CLAIR",Wesclin Comm Unit School Dist 3,Bond,Pass,"Build, equip, alter, and repair"
1997 Consolidated Election,*KNOX,Williamsfield Fire Protection Dist,Bond,Pass,Bond issue
1997 Consolidated Election,*MADISON,City of Highland,Bond,Pass,Street improvements
1997 Consolidated Election,*DuPAGE,Center Cass School Dist 66,Bond,Fail,"Build, equip, alter, and repair"
1997 Consolidated Election,*CHAMPAIGN,Champaign Comm Unit School Dist 4,Bond,Pass,Build and equip
1997 Consolidated Election,"MOULTRIE, *SHELBY",Windsor Comm Unit School Dist 1,Bond,Fail,Build and equip
1997 Consolidated Election,*WINNEBAGO,Winnebago Comm Unit School Dist 323,Bond,Fail,Operations
1997 Consolidated Election,*LAKE,Winthrop Harbor School Dist 1,Bond,Fail,Build and equip
1997 Consolidated Election,*JEFFERSON,Woodlawn Consolidated Comm School Dist 4,Bond,Fail,Building bonds
1997 Consolidated Election,*KENDALL,Yorkville Comm Unit School Dist 115,Bond,Fail,Working cash fund
1997 Consolidated Election,"JACKSON, *UNION",Cobden Comm Unit School Dist 17,Bond,Fail,Building bonds
1997 Consolidated Election,"*MONROE, ST. CLAIR",Columbia Comm Unit School Dist 4,Bond,Pass,"Build, equip, alter, and repair"
1997 Consolidated Election,"KANE, *McHENRY",Huntley Area Library Dist,Bond,Pass,Library question
1997 Consolidated Election,*ST. CLAIR,Grant Comm Consolidated School Dist 110,Bond,Fail,Build and equip
1997 Consolidated Election,"LIVINGSTON, *McLEAN",Gridley Comm Unit School Dist 10,Bond,Pass,Building bonds
1997 Consolidated Election,*HENDERSON,Gulfport-gladstone Rural Fire Protection Dist,Bond,Pass,Issue bonds
1997 Consolidated Election,*LAKE,Gurnee Park Dist,Bond,Pass,Recreational facility
1997 Consolidated Election,*LAKE,Gurnee School Dist 56,Bond,Fail,"Build, equip, alter, and repair"
1997 Consolidated Election,*COOK,Riverside Consolidated Comm School Dist 96,Bond,Pass,Bond issue
1997 Consolidated Primary,"KENDALL, *WILL",Plainfield School Dist 202,Bond,Fail,Building bonds
1997 Consolidated Primary,*DuPAGE,Glen Ellyn Consolidated Comm School Dist 89,Bond,Pass,"Build, equip, alter, and repair"
1997 Consolidated Primary,*DuPAGE,Glen Ellyn Elementary School Dist 41,Bond,Pass,"Build, equip, alter, and repair"
1997 Consolidated Primary,*COOK,Berwyn South School Dist 100,Bond,Pass,Build and equip
1997 Consolidated Primary,"LAKE, *McHENRY",Cary Consolidated Comm School Dist 26,Bond,Pass,Build and equip
1997 Consolidated Primary,*DuPAGE,Wheaton Warrenville Comm Unit School Dist 200,Bond,Fail,"Build, equip, alter, and repair"
1997 Consolidated Primary,*COOK,Cicero School Dist 99,Bond,Pass,Build and equip
1997 Consolidated Primary,"*DuPAGE, WILL",Indian Prairie Comm Unit School Dist 204,Bond,Pass,"Build, equip, alter, and repair"
1997 Consolidated Primary,"DeKALB, *KANE",Kaneland Comm Unit School Dist 302,Bond,Pass,Build and equip
1997 Nonpartisan Election,"KENDALL, *WILL",Plainfield School Dist 202,Bond,Pass,Building bonds
1997 Nonpartisan Election,"COOK, DeKALB, *KANE, McHENRY",Dundee Comm Unit School Dist 300,Bond,Fail,"Build, equip, alter, and repair"
1997 Nonpartisan Election,*DuPAGE,DuPage County Comm High School Dist 94,Bond,Pass,"Build, equip, alter, and repair"
1997 Nonpartisan Election,*DuPAGE,Dupage County Forest Preserve Dist,Bond,Pass,Develop open space plan
1997 Nonpartisan Election,*ROCK ISLAND,East Moline School Dist 37,Bond,Fail,Build and equip
1997 Nonpartisan Election,"*RICHLAND, WAYNE",East Richland Comm Unit School Dist 1,Bond,Pass,Build and equip
1997 Nonpartisan Election,*COOK,Eisenhower Public Library Dist,Bond,Fail,"Bond issue ($8,575,000.00)"
1997 Nonpartisan Election,*WILL,Frankfort Public Library Dist,Bond,Pass,Bond issue
1997 Nonpartisan Election,"COOK, *KANE",Gail Borden Public Library Dist,Bond,Fail,Library building
1997 Nonpartisan Election,"CHAMPAIGN, *FORD, LIVINGSTON, McLEAN",Gibson City-Melvin-Sibley Comm Unit School Dist 5,Bond,Fail,"Build, equip, alter, and repair"
1997 Nonpartisan Election,*LAKE,Village Of Grayslake,Bond,Fail,Swimming pool facility
1997 Nonpartisan Election,"MENARD, MORGAN, *SANGAMON",Pleasant Plains Comm Unit School Dist 8,Bond,Fail,Building bonds
1997 Nonpartisan Election,*COOK,Pleasantdale School Dist 107,Bond,Pass,"Bond issue ($2,400,000)"
1997 Nonpartisan Election,"LEE, *OGLE, WHITESIDE",Polo Comm Unit School Dist 222,Bond,Fail,Building bonds
1997 Nonpartisan Election,*McHENRY,Harrison School Dist 36,Bond,Pass,Building bonds
1997 Nonpartisan Election,"COOK, *DuPAGE",Hinsdale Comm Consolidated School Dist 181,Bond,Pass,Building and purchase grounds
1997 Nonpartisan Election,"COOK, *DuPAGE",Hinsdale Comm Consolidated School Dist 181,Bond,Pass,Build/equip gym
1997 Nonpartisan Election,*LAKE,Village Of Lake Zurich,Bond,Pass,Build new fire and/or police station
1997 Nonpartisan Election,*STEPHENSON,Orangeville Fire Protection Dist,Bond,Pass,Fire truck purchase
1997 Nonpartisan Election,*JEFFERSON,Bethel School Dist 82,Bond,Fail,"Build, equip, alter, and repair"
