AgencyCode,AgencyName,Cesa,ReferendumId,VoteDate,ReferendumTypeCode,ReferendumType,Amount,AnnualAmount,BriefDescription,FullDescription,YesVotes,NoVotes,ReferendumStatusCode,ReferendumStatus
0147,Appleton Area School District (0147),06,95,2005-02-15,RR,Recurring Referendum,1179000.0,,,expanding world language and physical education instruction at all district elementary schools.,6009,6154,FV,Failed
0147,Appleton Area School District (0147),06,96,2005-02-15,RR,Recurring Referendum,3370000.0,,,"lowering class size, updating text books and instructional materials, and replacing technology",7541,4650,PV,Passed
0147,Appleton Area School District (0147),06,97,2005-02-15,ID,Issue Debt,16860000.0,,School Improvement,"cost of remodeling, improving, upgrading, and adding to school buildings and grounds and acquiring and installing computers and other equipment.",7956,4280,PV,Passed
1855,Florence County School District (1855),08,915,2005-02-15,NR,Non-Recurring Referendum,750000.0,"2005-2006  750000.00,2006-2007  750000.00,2007-2008  750000.00",district operation and maintenance expenses,,1078,1124,FV,Failed
2044,Geneva J4 School District (2044),02,1026,2005-02-15,RR,Recurring Referendum,150000.0,,maintain current level of educational programming,,67,39,PV,Passed
2604,Howard-Suamico School District (2604),07,1377,2005-02-15,ID,Issue Debt,14700000.0,,,"cost of constructing, equipping and furnishing a new elementary school facility, construct additions to, renovating, remodeling, and upgrading, and acquiring furnishings and equipment for existing district facilities, site preparation and improvements at all construction sites, payment of related architectural and engineering fees and the cost of issuing of the Bonds",1347,4066,FV,Failed
3304,Marathon City School District (3304),09,1796,2005-02-15,ID,Issue Debt,6900000.0,,"Additions to and remodeling and renovating the high school, acquiring furnishings, fixtures and equipment","BE IT RESOLVED by the School Board of the School District of Marathon City, Marathon County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation school building bonds in an amount not to exceed $6,900,000 for the public purpose of paying the cost of constructing additions to and remodeling and renovating the high school; and acquiring furnishings, fixtures and equipment.",1004,920,PV,Passed
3304,Marathon City School District (3304),09,1797,2005-02-15,RR,Recurring Referendum,345000.0,,"Resolution Authorizing the School District Budget to Exceed Revenue Limit by $345,000 for Recurring Purposes","BE IT Resolved by the School Board of the School District of Marathon City, Marathon County, Wisconsin, that the revenues included in the School District budget for the 2005-06 school year and thereafter be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $345,000 a year, for recurring purposes.",1320,617,PV,Passed
3675,Monona Grove School District (3675),02,2036,2005-02-15,RR,Recurring Referendum,527000.0,,Referendum to exceed the Revenue Cap for the cost of staffing and operating new and expanded facilities.,"BE IT RESOLVED by the School Board of the Monona Grove School District, Dane County, Wisconsin, that the revenues included in the School District budget for the 2006-2007 school year and thereafter be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $527,000 a year, for recurring purposes consisting of staffing and operating new and expanded school facilities.",2080,3247,FV,Failed
3675,Monona Grove School District (3675),02,2037,2005-02-15,ID,Issue Debt,39900000.0,,School Construction and renovation. ,"BE IT RESOLVED by the School Board of the Monona Grove School District, Dane County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation school building bonds in an amount not to exceed $39,900,000 for the public purpose of paying the cost of constructing a new school in Cottage Grove for grades 5-8, including related site work; constructing additions to and remodeling and renovating Winnequah School, Cottage Grove School, and Maywood School; improving HVAC system at Taylor Prairie School; and acquiring furnishings, fixtures and equipment.",2003,3363,FV,Failed
4025,Oakfield School District (4025),06,2251,2005-02-15,NR,Non-Recurring Referendum,500000.0,"2005-2006  500000.00,2006-2007  500000.00,2007-2008  500000.00,2008-2009  500000.00",operation and maintenance expenses,,475,626,FV,Failed
4970,D C Everest Area School District (4970),09,2873,2005-02-15,ID,Issue Debt,18955000.0,,construct elementary school and complete various projects,"constructing a new elementary school; constructing additions adn undertaking maintenance, repair and remodeling projects at various school district buildings and sites; acquiring equipment, furnishings and fixtures, and acquiring land",2445,1973,PV,Passed
4970,D C Everest Area School District (4970),09,2874,2005-02-15,RR,Recurring Referendum,750000.0,"2005-2006  750000.00,2006-2007  750000.00",recurring purposes,,2352,2015,PV,Passed
5621,Stoughton Area School District (5621),02,3181,2005-02-15,NR,Non-Recurring Referendum,1420000.0,"2005-2006  1420000.00,2006-2007  2420000.00,2007-2008  3270000.00,2008-2009  4070000.00",Providing for the operational needs of the school district,"Be it resolved by the School Board of the Stoughton Area School District, Dane and Rock Counties, Wisconsin, that, for the purpose of providing for the operational needs of the school district, the school district budget for each of the 2005-06 through 2008-09 school years shall include the following amounts in excess of the revenue limits imposed by Section 121.91(2m), Wisconsin Statutes: for the 2005-06 school year an amount of $1420000 on a nonrecurring basis; for the 2006-07 school year an amount of $2420000 on a nonrecurring basis; for the 2007-08 school year an amount of $3270000 on a nonrecurring basis; and for the 2008-09 school year an amount of $4070000 on a nonrecurring basis.",1863,3368,FV,Failed
5656,Sun Prairie Area School District (5656),02,3226,2005-02-15,ID,Issue Debt,9530000.0,,acquire 2 parcels of land as future school sites,,2400,2159,PV,Passed
5656,Sun Prairie Area School District (5656),02,3227,2005-02-15,NR,Non-Recurring Referendum,419282.0,"2005-2006  419282.00,2006-2007  419282.00,2007-2008  419282.00,2008-2009  279520.00,2009-2010  139760.00",operation and maintenance costs for the Horizon Elementary School,,2298,2252,PV,Passed
5901,Verona Area School District (5901),02,3359,2005-02-15,RR,Recurring Referendum,650000.0,,recurring purposes,,1724,1438,PV,Passed
5901,Verona Area School District (5901),02,3360,2005-02-15,ID,Issue Debt,17985000.0,,"acquire land, construct new elementary school and related site work, construct addition to and remodel and renovate Stoner Prairie Elementary school, infrastructure improvements, and furnishings, fixtures, equipment",,1846,1325,PV,Passed
6181,Waunakee Community School District (6181),02,3490,2005-02-15,ID,Issue Debt,20750000.0,,"construction and equipping of new elementary school; renovate, remodel, construction of an addition to and acquisition of equipment for existing middle school; renovate and upgrades to and acquisition of equipement for Heritage/Intermeditate School.",,1874,1164,PV,Passed
6181,Waunakee Community School District (6181),02,3491,2005-02-15,ID,Issue Debt,2200000.0,,financing and constructing and equipping of a gymnasium for the middle school and related costs.,,1632,1388,PV,Passed
6181,Waunakee Community School District (6181),02,3492,2005-02-15,RR,Recurring Referendum,300000.0,"2006-2007  300000.00,2007-2008  300000.00",operating expenses relating to new or expanded district facilities,,1634,1382,PV,Passed
0616,North Lakeland School District (0616),09,318,2005-02-21,RR,Recurring Referendum,428000.0,,Maintain Current Programs,"Be it resolved by the School Board of the Boulder Junction Joint School District #1, et al, Vilas County, Wisconsin that the revenues included in the School District budget for the 2006-2007 school year and thereafter be authorized to exceed the revenue limits speciified in section 121.91, Wisconsin Statutes by $428,000 a year, for recurring purposes",0,0,BV,Before the Vote Date
9995,,,3806,2005-04-02,RR,Recurring Referendum,500000.0,,Operating expenses,,0,0,BV,Before the Vote Date
0063,Albany School District (0063),02,18,2005-04-05,NR,Non-Recurring Referendum,200000.0,"2005-2006  200000.00,2006-2007  200000.00,2007-2008  200000.00,2008-2009  200000.00,2009-2010  200000.00","meet operating costs, to maintain existing programs, and to replace,maintain, and/or upgrade school district technology for operational and educational purposes","Be it resolved by the School Board of the School District of Albany whereas they support inclusion in the final School District budget of $200,000 in excess of the revenue limit set forth in Section 121.91, Wisconsin Statutes, for each of the 2005-2006, 2006-2007, 2007-2008, 2008-2009, and 2009-2010 school years, such excess to be used for non-recurring costs for general operations to maintain existing programs, and to replace, maintain, and/or upgrade school district technology.",463,170,PV,Passed
0112,Altoona School District (0112),10,48,2005-04-05,NR,Non-Recurring Referendum,750000.0,"2005-2006  750000.00,2006-2007  1250000.00,2007-2008  1250000.00,2008-2009  1250000.00",Exceed Revenue Cap,"RESOLUTION
AUTHORIZING THE SCHOOL DISTRICT BUDGET TO
EXCEED REVENUE LIMIT FOR NON-RECURRING PURPOSES

BE IT RESOLVED by the School Board of the School District of Altoona, Eau Claire County, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $750,000 for the 2005-2006 school year; and by $1,250,000 for each of the 2006-2007, 2007-2008 and 2008-2009 school years, for non-recurring purposes.""
",648,1259,FV,Failed
0616,North Lakeland School District (0616),09,319,2005-04-05,RR,Recurring Referendum,900000.0,"2005-2006  900000.00,2006-2007  600000.00",maintaining programs and buildings,"Be it Resolved by the School Board fo the Boulder Junction Joint School District Number 1, et al., Vilas County, Wisconsin, that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes by $900,000 for the 2005-2006 school year and by an additional $600,000 (for a total of $1,500,000) for the 2006-2007 school year and thereafter, for recurring purposes consisting of maintaining programs and buildings.",429,973,FV,Failed
0721,Brown Deer School District (0721),01,376,2005-04-05,ID,Issue Debt,13500000.0,,New elementary school,"The School Board of the School District of Brown Deer (the ""District"") hereby resolves as follows: Under and by virtue of the provisions of Chapter 67, Wisconsin Statutes, the District shall issue its general obligation bonds in a sum not to exceed the amount of $13,500,000, for the following purposes: (a) contruction and equipping of an approximately 87,000 square foot new elementary school; and (b)legal and closing costs",1455,1958,FV,Failed
0721,Brown Deer School District (0721),01,377,2005-04-05,ID,Issue Debt,19770000.0,,New academic wing and remodeling of high school,"The School Board of the School District of Brown Deer (the ""District"") hereby resolves as follows: Under and by virtue of the provisions of Chapter 67, Wisconsin Statutes, the District shall issue its general obligation bonds, in a sum not to exceed the amount of $19,770,000, for the purpose of rehabilitation and equipping of the high school including but not limited to the following: (a)contruction and equipping of an approximately 100,000 square foot academic wing and cafeteria at the Brown Deer High School and selective remodeling of the Brown Deer High School, including but not limited to a community center; and (b)legal and closing costs",1269,2136,FV,Failed
0721,Brown Deer School District (0721),01,378,2005-04-05,ID,Issue Debt,3800000.0,,New community auditorium,"The School Board of the School District of Brown Deer (the ""District"") hereby resolves as follows: Under and by virtue of the provisions of Chapter 67, Wisconsin Statutes, the District shall issue its general obligation bonds, in a sum not to exceed the amount of $3,800,000 for the following purposes: (a)contruction and equipping of a new community auditorium with up to 450 seats; and (b)legal and closing costs",1074,2329,FV,Failed
0721,Brown Deer School District (0721),01,379,2005-04-05,ID,Issue Debt,2620000.0,,"20,000 square foot 2 station gym","The School Board of the School District of Brown Deer (the ""District"") hereby resolves as follows: Under and by virtue of the provisions of Chapter 67, Wisconsin Statutes, the District shall issue its general obligation bonds, in a sum not to exceed the amount of $2,620,000, for the following purposes: (a)contruction and equipping of an approximately 20,000 square foot 2 station gym; and (b)legal and closing costs",1079,2327,FV,Failed
0896,Cambridge School District (0896),02,415,2005-04-05,NR,Non-Recurring Referendum,500000.0,"2005-2006  500000.00,2006-2007  500000.00,2007-2008  500000.00,2008-2009  500000.00,2009-2010  500000.00,2010-2011  500000.00,2011-2012  500000.00,2012-2013  500000.00,2013-2014  500000.00",operating purposes,"Be it Resolved by the School Board of the School District of Cambridge, Dane and Jefferson Counties, Wisconsin, that the revenues included in the School District budget beginning with the 2005-2006 school year and ending with the 2013-2014 school year be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, on a non-recurring basis, by $500,000 a year, for operating purposes.",682,422,PV,Passed
1246,Cuba City School District (1246),03,565,2005-04-05,NR,Non-Recurring Referendum,500000.0,"2005-2006  500000.00,2006-2007  500000.00,2007-2008  500000.00,2008-2009  500000.00,2009-2010  500000.00",Operating Revenue,"BE IT RESOLVED by the School Board of the School District of Cuba City, Grant and Lafayette Counties, Wisconsin, that the final school district budget for each year of the 2005-06 through 2009-2010 school years shall include, on a non-recurring basis, the following amounts in excess of the revenue limits imposed by Section 121.91(2m), Wisconsin Statutes: the amount of $500,000; for each school year from 2005-06 through 2009-2010.",671,792,FV,Failed
1428,Dodgeville School District (1428),03,697,2005-04-05,RR,Recurring Referendum,1300000.0,,"deferred maintenance projects, replacing roofs on school buildings, technology improvements, increasing fund balances, and curriculum improvements in the District","Be it Resolved by the School Board that the School Board supports inclusion in the final school district budget of the Dodgeville School District for the year 2005-2006 and thereafter of an amount fo $1,300,000 in excess of the revenue limits set forth in Section 121.91(2), Wisconsin Statutes, which excess revenue is determined to be for a recurring purpose of paying deferred maintenance projects, replacing roofs on school buildings, technology improvements, increasing fund balance, and curriculum improvements in the District.",885,799,PV,Passed
1540,East Troy Community School District (1540),02,741,2005-04-05,NR,Non-Recurring Referendum,375000.0,"2006-2007  375000.00,2007-2008  375000.00,2008-2009  375000.00,2009-2010  375000.00,2010-2011  375000.00",non recurring purposes,"Be it Resolved by the School Board of the East Troy Community School District, Walworth and Waukesha Counties, Wisconsin that the revenues included in the School District Budget beginning with the 2006-2007 school year and ending with the 2010-2011 school year be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $375,000 a year, for non-recurring purposes consisting of capital equipment, maintenance and safety projects.",924,1051,FV,Failed
1862,Fond du Lac School District (1862),06,930,2005-04-05,ID,Issue Debt,8765000.0,,"projects listed in the District's five-year Capital Improvement plan, including improvements, repairs, replacements, renovations and remodeling at various school facilities and acquisition and installation of computers adn other equipment","Be it Resolved by the School Board of the Fond du Lac School District, Fond du Lac County, Wisconsin, that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation school maintenance and improvement bonds in an amount not to exceed $8,765,000 for the public purpose of paying the cost of projects listed in the District's five-year Capital Improvement Plan including improvements, repairs, replacements, renovations adn remodeling at various school facilities and acquisition and installation of computers and other equipment",3907,3940,FV,Failed
2009,Galesville-Ettrick-Trempealeau School District (2009),04,1013,2005-04-05,NR,Non-Recurring Referendum,500000.0,"2005-2006  500000.00,2006-2007  500000.00,2007-2008  500000.00,2008-2009  500000.00,2009-2010  500000.00",cost of maintaining programming and other operation and maintenance expenses of the district,"Be it Resolved by the School Board of the School District of the City of Galesville, Village of Ettrick and Trempealeau, Towns of Caledonia, Dodge, Ettrick, Gale, and Trempealeau in Trempealeau County and the Town of North Bend in Jackson County, Wisconsin, that the revenues included in the School District budget for the 2005-2006 school year and for each school year thereafter, to and including the 2009-2010 school year, be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $500,000 a year, for recurring purposes consisting of paying the cost of maintaining programming and other operation and maintenance expenses of the District.",797,1914,FV,Failed
2009,Galesville-Ettrick-Trempealeau School District (2009),04,1014,2005-04-05,ID,Issue Debt,22800000.0,,"school building program, consisting of constructing a new high school with an auditorium; remodeling, improving, and upgrading the Trempealeau complex; and acquiring furniture, fixtures and equipment","Be it Resolved by the School Board of the School District of the City of Galesville, Villages of Ettrick and Trempealeau in Trempealeau County and the Town of North Bend in Jackson County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation bonds in an amount not to exceed $22,800,000 for the public purpose of paying the cost of a school building program, consisting of constructing a new high school with an auditorium; remodeling, improving and upgrading the Trempealeau complex; and acquiring furniture, fixtures and equipment.",722,2012,FV,Failed
2296,Greendale School District (2296),01,1162,2005-04-05,ID,Issue Debt,19500000.0,,cost of renovating and adding to the high school and acquiring related equipment,"Be it Resolved by the School Board of the Greendale School District, Milwaukee County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation school building bonds in an amount not to exceed $19,500,000 for the public purpose of paying the cost of renovating and adding to the high school and acquiring related equipment.",1925,2185,FV,Failed
2394,Greenwood School District (2394),10,1187,2005-04-05,NR,Non-Recurring Referendum,500000.0,"2005-2006  500000.00,2006-2007  500000.00,2007-2008  500000.00,2008-2009  500000.00,2009-2010  500000.00",non recurring purposes consisting of costs of educational programs and operations,"Be it Resolved by the School Board of the School District of Greenwood, Clark County, Wisconsin, that the revenues included in the School District budget beginning with the 2005-2006 school year and ending with the 2009-2010 school year be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $500,000 a year, for non-recurring purposes consisting of costs of educational program and operations.",935,450,PV,Passed
2527,Highland School District (2527),03,1281,2005-04-05,RR,Recurring Referendum,175000.0,,exceed revenue cap,"RESOLUTION
AUTHORIZING THE SCHOOL DISTRICT BUDGET TO 
EXCEED REVENUE LIMIT BY NOT TO EXCEED $175,000 
FOR RECURRING PURPOSES

BE IT RESOLVED by the School Board of the Highland School District, Iowa and Grant Counties, Wisconsin that the revenues included in the School District budget for the 2005-2006 school year and thereafter be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by not to exceed $175,000 a year, for recurring purposes.
",256,248,PV,Passed
2527,Highland School District (2527),03,1282,2005-04-05,ID,Issue Debt,3500000.0,,elementary addition onto Middle/High School building,"INITIAL RESOLUTION 
AUTHORIZING GENERAL OBLIGATION SCHOOL BUILDING BONDS
IN AN AMOUNT NOT TO EXCEED $3,500,000

BE IT RESOLVED by the School Board of the Highland School District, Iowa and Grant Counties, Wisconsin that there shall be  issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation school building bonds in an amount not to exceed $3,500,000 for public purpose of paying the cost of possible demolition of the old elementary school; constructing an addition to the Highland High School/Middle School to accommodate the elementary school students; and acquiring furnishings, fixtures and equipment.
",260,253,PV,Passed
2534,Hilbert School District (2534),07,1291,2005-04-05,ID,Issue Debt,9405000.0,,cost of constructing and equipping a new elementary school and gymnasium at teh middle/high school campus and making renovations to the middle/high school building,"Be it Resolved by the School Board of the School District of Hilbert, Calumet County, Wisconsin, that there shall be issued, pursuant to Chapter 67, Wisconsin Statutes, General Obligation Bonds in an amount not to exceed $9,405,000 for the purpose of paying the cost of constructing and equipping a new elementary school and gymnasium at the middle/high school campus and making renovations to the middle/high school building.",374,696,FV,Failed
2730,Johnson Creek School District (2730),02,1492,2005-04-05,RR,Recurring Referendum,350000.0,,ongoing operating costs,"Be it Resolved by the School Board of the School Distict of Johnson Creek, Jefferson County, Wisconsin, that the revenues included in the School District budget for the 2005-2006 school year and thereafter be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $350,000 a year, for recurring purposes consisting of ongoing operating costs.",316,1100,FV,Failed
2730,Johnson Creek School District (2730),02,1493,2005-04-05,ID,Issue Debt,21000000.0,,constructing and equipping a new Pre k12 school building and making related site improvements.,"Be it Resolved by the School Board of the School District of Johnson Creek, Jefferson County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation school building bonds in an amount not to exceed $21,000,000 for the public purpose of paying the cost of constructing and equipping a new PreK-12 school building and making related site improvements.",254,1178,FV,Failed
2800,Kewaskum School District (2800),06,1540,2005-04-05,NR,Non-Recurring Referendum,430000.0,"2005-2006  430000.00,2006-2007  430000.00,2007-2008  430000.00,2008-2009  430000.00,2009-2010  430000.00","acquiring textbooks, technology, and supplemental materials","Be it Resolved by the School Board of the School District of Kewaskum, Washington, Fond du Lac and Sheboygan Counties, Wisconsin, that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $430,000 each year for five (5) years beginning in the 2005-2006 school year and ending with the 2009-2010 school year, for non-recurring purposes consisting of acquiring textbooks, technology and supplemental materials.",1593,1532,PV,Passed
2863,La Farge School District (2863),04,1616,2005-04-05,ID,Issue Debt,220000.0,,asbestos abatement in the middle school area and refinancing the District state trust fund loans drawn in 2002 to finance roof repairs,"Be it Resolved by the School Board of the School District of La Farge, Vernon and Richland Counties, Wisconsin, that there shall be issued, pursuant to Chapter 67, Wisconsin Statutes, General Obligation Bonds in an amount not to exceed $220,000 for the purpose of paying the cost of asbestos abatement in the middle school area and refinancing the District's state trust fund loans drawn in 2002 to finance roof repairs.",328,107,PV,Passed
3339,Marshfield Unified School District (3339),05,1830,2005-04-05,ID,Issue Debt,21300000.0,,Repair/Replace School Buildings,"Be it Resolved by the School Board of the Unified School District of Marshfield, Clark, Marathon and Wood counties, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation school building bonds in an amount not to exceed $21,300,000 for the public purpose of paying the cost of demolition work; constructing two new elementary schools; constructing additions to and remodeling, maintenance and improvement projects at the Lincoln Elementary and Marshfield High Schools; and acquiring equipment, technology, furnishings and fixtures throughout the district",5211,3529,PV,Passed
3437,Menomonee Falls School District (3437),01,1896,2005-04-05,ID,Issue Debt,19340000.0,,capital improvements at seven district facilities,"Be it Resolved by the School Board of the School District of Menomonee Falls, Waukesha County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation school building bonds in an amount not to exceed $19,340,000 for the public purpose of paying the cost of capital improvement projects at Menomonee Falls High School, Thomas Jefferson Middle School, Benjamin Franklin, Shady Lane, Valley View and Riverside Elementary schools and the Central Office building (formerly Hiawatha Elementary School) including site work at these locations; and acquiring equipment, furnishings and fixtures.",3339,3909,FV,Failed
3787,Mosinee School District (3787),09,2084,2005-04-05,ID,Issue Debt,11250000.0,,"remodeling and constructing new classrooms, a library and a gymnasium at the Mosinee Elementary school","Be it Resolved by the School Board of the School District of Mosinee, Marathon County, Wisconsin, that there shall be issued, pursuant to Chapter 67, Wisconsin Statutes, General Obligation Bonds in an amount not to exceed $11,250,000 for the purpose of paying the cost of remodeling and constructing new classrooms, a library and a gymnasium at the Mosinee Elementary School.",1567,1712,FV,Failed
3787,Mosinee School District (3787),09,2085,2005-04-05,RR,Recurring Referendum,350000.0,,school district operation and maintenance costs,"Be it Resolved by the School Board of the School District of Mosinee, Marathon County, Wisconsin, that the final school district budget beginning with the 2006-2007 school year shall include, on a recurring basis, an amount of $350,000 in excess fo the revenue limits imposed by Section 121.91(2m) of the Wisconsin Statutes for the purpose of paying school district operation and maintenance costs.",1355,1848,FV,Failed
3962,New Richmond School District (3962),11,2216,2005-04-05,ID,Issue Debt,54000000.0,,"New HS and fields, Convert current HS to MS, Addition to Elementary, remodel Elementary, Equipment, land and land improvements.","BE IT RESOLVED by the school board of the School District of New Richmond, St. Croix County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation school building bonds in an amount not to exceed $54,000,000 for the public purpose of paying the cost of acquiring and improving a school site; constructing additions and remodeling at East and West Elementary schools; remodeling and improving the existing high school and converting it to a middle school; constructing a new high school and providing related athletic facilities; and acquiring equipment.",1734,1747,FV,Failed
4529,Potosi School District (4529),03,2571,2005-04-05,RR,Recurring Referendum,50000.0,"2005-2006  50000.00,2006-2007  100000.00,2007-2008  150000.00",Operating Expenses,"Exceed Revenue Limit By $50,000 Beginning in 2005-06 for a Recurring Purpose, to Exceed the Revenue Limit by an Additional $100,000 Beginning in 2006-07 for a Recurring Purpose, and to Exceed the Revenue Limit by an Additional $150,000 Beginning in 2007-08 for a Recurring Purpose",183,285,FV,Failed
4620,Racine Unified School District (4620),01,2685,2005-04-05,NR,Non-Recurring Referendum,8900000.0,"2005-2006  8900000.00,2006-2007  8900000.00",limiting purther program and service reductions and paying the increasing costs of basic operations,"Be it Resolved by the School Board of the Racine Unified School District, Racine County, Wisconsin, that the revenues included in the School District budget be authorized to exceed the revenue limits specified in Section 121.91, Wisconsin Statutes, on a non-recurring basis, by $8,900,000 for each of the 2005-2006 and 2006-2007 school years for the purpose of limiting further program and service reductions and paying th increasing costs of basic operations.",8492,10188,FV,Failed
4781,Rhinelander School District (4781),09,2761,2005-04-05,NR,Non-Recurring Referendum,2000000.0,"2005-2006  2000000.00,2006-2007  4000000.00,2007-2008  6000000.00",non-recurring purposes,"BE IT RESOLVED by the School Board of the School District of Rhinelander, Oneida, Lincoln and Langlade Counties, Wisconsin that the revenues included in the School District budget be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $2,000,000 for the 2005-2006 school year; by an additional $2,000,000 for the 2006-2007 school year for a total of $4,000,000; and by an additional $2,000,000 for the 2007-2008 school year for a total of $6,000,000, for non-recurring purposes.",1443,4443,FV,Failed
4956,Rosendale-Brandon School District (4956),06,2859,2005-04-05,NR,Non-Recurring Referendum,640000.0,"2005-2006  640000.00,2006-2007  640000.00,2007-2008  680000.00,2008-2009  680000.00,2009-2010  800000.00,2010-2011  800000.00",OPERATING AND MAINTAINING THE EDUCATIONAL PROGRAMS AND FACILITIES OF THE DISTRICT,"MAY THE REVENUE LIMIT OF THE SCHOOL DISTRICT OF ROSENDALE-BRANDON UNDER SECTION 121.91 (2M) OF THE WISCONSIN STATUTES BE EXCEEDED BY AN AMOUNT EQUAL TO $640,000 IN EACH OF THE SCHOOL YEARS 2005-2006 AND 2006-2007, AN AMOUNT EQUAL TO $680,000 IN EACH OF THE SCHOOL YEARS 2007-2008 AND 2008-2009, AND AN AMOUNT EQUAL TO $800,000 IN EACH OF THE SCHOOL YEARS 2009-2010 AND 2010-2011, SUCH AMOUNTS TO BE USED FOR THE NONRECURRING PURPOSES OF OPERATING AND MAINTAINING THE EDUCATIONAL PROGRAMS AND FACILITIES OF THE DISTRICT?""",906,521,PV,Passed
5432,Somerset School District (5432),11,3038,2005-04-05,ID,Issue Debt,29500000.0,,"acquire land, construct and equip new high school and new elementary school and add to, remodel, and improve existing schools.","Be it resolved by the School Board of the School District of Somerset, St. Croix County, Wisconsin that there shall be issued pursuant to Chapter 67 of the Wisconsin Statutes, general obligation school building bonds in an amount not to exceed $29,500,000 for the public purpose of paying the cost of acquiring land; constructing and equipping a new high school and new elementary school; and adding to, remodeling and improving existing schools.",456,1704,FV,Failed
5467,Spencer School District (5467),10,3087,2005-04-05,NR,Non-Recurring Referendum,425000.0,"2005-2006  425000.00,2006-2007  425000.00,2007-2008  425000.00,2008-2009  425000.00,2009-2010  425000.00,2010-2011  425000.00",non-recurring purposes,"Be it Resolved by the School Board of the School District of Spencer, Marathon and Clark Counties, Wisconsin that the revenues included in the School District Budget beginning with the 2005-2006 school year and ending with the 2010-2011 school year be authorized to exceed the revenue limit specified in Section 121.91, Wisconsin Statutes, by $425,000 a year, for non-recurring purposes.",525,229,PV,Passed
5960,Kickapoo Area School District (5960),03,3367,2005-04-05,NR,Non-Recurring Referendum,225000.0,"2005-2006  225000.00,2006-2007  225000.00,2007-2008  225000.00",To exceed revenue limit for non-recurring purposes consisting of maintain existing educational programs and facilities,"Resolution Authorizing the School District Budget To Exceed Revenue Limit for Non-recurring purposes
Be it resolved by the School Board of the Kickapoo Area School District, Crawford, Richland and Vernon Counties,Wisconsin, that the revenues included in the School District budget for the 2005-2006 school year through 2007-2008 school year be authorized to exceed the revenue limit specified in Section 121.91,Wisconsin Statutes, by $225,000.00 a year, for non-recurring purposes consisting of maintaining existing educational programs and facilities.",503,355,PV,Passed
6174,Waukesha School District (6174),01,3473,2005-04-05,NR,Non-Recurring Referendum,1500000.0,"2005-2006  1500000.00,2006-2007  1500000.00,2007-2008  1500000.00,2008-2009  1500000.00",,"Shall the School District of Waukesha, Wisconsin be authorized to exceed the revenue limit established unders Section 121.91 (2m) of the Wisconsin Statutes by an amount not greater than $1,500,000 of excess revenue in each school year through and including the school year ending June 30, 2009 for the limited recurring public purposes of paying the costs of capital improvement projects, including, but not limited to, repairing, renovating, and improving District buildings and facilities and by an amount not greater than $5,000,000 of excess revenue in the school year ending June 30, 2006 and in any succeeding fiscal year for the recurring public purpose of the preservation of educational programs?",5588,11267,FV,Failed
6174,Waukesha School District (6174),01,3474,2005-04-05,RR,Recurring Referendum,5000000.0,,,"Shall the School District of Waukesha, Wisconsin be authorized to exceed the revenue limit established unders Section 121.91 (2m) of the Wisconsin Statutes by an amount not greater than $1,500,000 of excess revenue in each school year through and including the school year ending June 30, 2009 for the limited recurring public purposes of paying the costs of capital improvement projects, including, but not limited to, repairing, renovating, and improving District buildings and facilities and by an amount not greater than $5,000,000 of excess revenue in the school year ending June 30, 2006 and in any succeeding fiscal year for the recurring public purpose of the preservation of educational programs?",5588,11267,FV,Failed
