state,election,election_year,election_month,referendum_type,gov_unit_name,county,gov_type,amount_or_rate,result_raw,result
IN,November 2023,2023,11,School Safety,Fort Wayne Community School Corporation,Allen County,school,,PASSED (certified),Passed
IN,May 2024,2024,05,School Operating/Capital Levy,Blue River Valley School Corporation,Henry County,school,,FAILED (Certified),Failed
IN,May 2024,2024,05,School Operating/Capital Levy,Brown County Schools,Brown County,school,,PASSED,Passed
IN,May 2024,2024,05,School Operating/Capital Levy,Fremont Community Schools,Steuben County,school,,PASSED (Certified),Passed
IN,May 2024,2024,05,School Operating/Capital Levy,MSD Pike Township,Marion County,school,,PASSED (Certified),Passed
IN,November 2024,2024,11,Controlled Project,Town of Sheridan and Adams Township,Hamilton County,town,,APPROVED (Certified),Passed
IN,November 2024,2024,11,School Operating/Capital Levy,Kokomo School Corporation,Howard County,school,,FAILED,Failed
IN,November 2024,2024,11,School Operating/Capital Levy,Lake Station School Corporation,Lake County,school,,PASSED (Certified),Passed
IN,November 2024,2024,11,School Operating/Capital Levy,Twin Lakes School Corporation,White and Carroll Counties,school,,FAILED (Certified),Failed
IN,May 2025,2025,05,Controlled Project,Silver Creek Community School Corporation,Clark County,school,,FAILED (certified),Failed
IN,May 2025,2025,05,Controlled Project,Southwest Parke Community School Corporation,Parke County,school,,FAILED (certified),Failed
IN,May 2025,2025,05,School Operating/Capital Levy,Central Noble Community Schools,Noble County,school,,FAILED (certified),Failed
IN,May 2025,2025,05,School Operating/Capital Levy,Crown Point Community School Corporation,Lake County,school,,PASSED (certified),Passed
IN,May 2025,2025,05,School Operating/Capital Levy,Hamilton Community Schools,DeKalb and Steuben Counties,school,,PASSED (certified),Passed
IN,May 2025,2025,05,School Operating/Capital Levy,School City of Hobart,Lake County,school,,PASSED (certified),Passed
IN,May 2025,2025,05,School Operating/Capital Levy,Westview School Corporation,LaGrange County,school,,PASSED (certified),Passed
IN,November 2025,2025,11,School Operating/Capital Levy,Avon Community School Corporation,Hendricks County,school,,APPROVED (certified),Passed
IN,November 2025,2025,11,School Operating/Capital Levy,Cannelton City School Corporation,Perry County,school,,APPROVED (certified),Passed
IN,November 2025,2025,11,School Operating/Capital Levy,Duneland School Corporation,Porter County,school,,,
IN,November 2025,2025,11,School Operating/Capital Levy,Hanover School Corporation,Lake County,school,,APPROVED (certified),Passed
IN,November 2025,2025,11,School Operating/Capital Levy,Lake Central School Corporation,Lake County,school,,APPROVED (certified),Passed
IN,November 2025,2025,11,School Operating/Capital Levy,Northwest Allen Community Schools,Allen County,school,,FAILED (certified),Failed
