"governmentname","governmenttype","county","electiondate","amount","purpose","purposedescription","propnumber","votesfor","votesagainst","result","source"
"Brazoria","CITY","Brazoria","1951-07-07T00:00:00.000","175000","Other","Gas System","1","1","0","Carried","TBR"
"Bryan","CITY","Brazos","1953-02-24T00:00:00.000","1015000","Other","Water","1","1","0","Carried","TBR"
"Bryan","CITY","Brazos","1953-02-24T00:00:00.000","1754000","Other","Electric Sys","2","1","0","Carried","TBR"
"Greenville","CITY","Hunt","1953-02-28T00:00:00.000","50000","Other","Fire Station Improvements","1","1","0","Carried","TBR"
"Brazos Country","CITY","Austin","1953-12-05T00:00:00.000","800000","Renovations","Courthouse Improvements","1","1","0","Carried","TBR"
"Arlington ISD","ISD","Tarrant","1958-02-15T00:00:00.000","5000000","Building","School Building","1","1","0","Carried","TBR"
"Travis County WCID 18","WD","Travis","1959-06-20T00:00:00.000","475000","Other","Water","1","1","0","Carried","TBR"
"East Texas MUD of Smith County","WD","Smith","1961-02-04T00:00:00.000","1500000","Programs","Water & Sewer","1","1","0","Carried","TBR"
"Lubbock County","COUNTY","Lubbock","1961-05-15T00:00:00.000","1750000","Other","Road","1","1","0","Carried","TBR"
"Upshur County","COUNTY","Upshur","1963-01-14T00:00:00.000","85000","Other","Right of Way","1","1","0","Carried","TBR"
"Brazoria","CITY","Brazoria","1963-04-02T00:00:00.000","45000","Other","Gas System","1.2","1","0","Carried","TBR"
"Brazoria","CITY","Brazoria","1963-04-02T00:00:00.000","45000","Other","Waterworks Imprs","1.1","1","0","Carried","TBR"
"Wills Point","CITY","Van Zandt","1963-07-06T00:00:00.000","25000","Other","Sewer Improvements","1","1","0","Carried","TBR"
"Tatum","CITY","Rusk","1963-09-07T00:00:00.000","116000","Other","Sewer Improvements","1","1","0","Carried","TBR"
"Universal City","CITY","Bexar","1964-02-29T00:00:00.000","30000","Other","Park","1.1","1","0","Carried","TBR"
"Universal City","CITY","Bexar","1964-02-29T00:00:00.000","343000","Other","General","1.2","1","0","Carried","TBR"
"Cleveland","CITY","Liberty","1964-03-14T00:00:00.000","200000","Other","Street","1","1","0","Carried","TBR"
"Whitewright ISD","ISD","Grayson","1964-05-09T00:00:00.000","275000","Building","School Building","1","320","64","Carried","TBR"
"Jim Hogg County WCID 2","WD","Jim Hogg","1964-07-11T00:00:00.000","1250000","Programs","Water & Sewer","1","1","0","Carried","TBR"
"Baird","CITY","Callahan","1965-01-19T00:00:00.000","32000","Other","Street","1","1","0","Carried","TBR"
"Baird","CITY","Callahan","1965-01-19T00:00:00.000","68000","Other","Water","2","1","0","Carried","TBR"
"West Columbia","CITY","Brazoria","1965-05-29T00:00:00.000","300000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Harris County FWSD 58","WD","Harris","1965-12-31T00:00:00.000","900000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Richwood","CITY","Brazoria","1966-01-11T00:00:00.000","500000","Other","Sidewalks","2","0","0","NR","TBR"
"Richwood","CITY","Brazoria","1966-01-11T00:00:00.000","150000","Other","Water & Sewer","1","0","0","Carried","TBR"
"Aledo ISD","ISD","Parker","1966-11-19T00:00:00.000","500000","Building","School Building","1","1","0","Carried","TBR"
"Bell County WCID 1","WD","Bell","1967-05-09T00:00:00.000","1500000","Other","Sewer Imprs","1","1","0","Carried","TBR"
"Upshur County","COUNTY","Upshur","1967-10-15T00:00:00.000","77000","Other","Right of Way","1","1","0","Carried","TBR"
"Texas City","CITY","Galveston","1968-04-02T00:00:00.000","770000","Other","not available","1","1","0","Carried","TBR"
"Brazoria","CITY","Brazoria","1968-08-17T00:00:00.000","262000","Other","Water, Sewer & Gas","1","1","0","Carried","TBR"
"Wells ISD","ISD","Cherokee","1968-11-04T00:00:00.000","350000","Building","School Building","1","1","0","Carried","TBR"
"Richwood","CITY","Brazoria","1968-12-03T00:00:00.000","435000","Other","Street","2","0","0","Carried","TBR"
"Richwood","CITY","Brazoria","1968-12-03T00:00:00.000","125000","Other","Park","1","0","0","Carried","TBR"
"Mineral Wells","CITY","Palo Pinto","1969-05-27T00:00:00.000","2450000","Other","Streets & Drainage","1","273","224","Carried","TBR"
"League City","CITY","Galveston","1969-07-15T00:00:00.000","862250","Building","City Hall","1","1","0","Carried","TBR"
"Carthage","CITY","Panola","1970-02-28T00:00:00.000","400000","Other","Street","1","1","0","Carried","TBR"
"Woodville","CITY","Tyler","1970-04-04T00:00:00.000","500000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Upshur County","COUNTY","Upshur","1971-06-15T00:00:00.000","30000","Other","Road","1","1","0","Carried","TBR"
"Westador MUD","WD","Harris","1971-06-16T00:00:00.000","10340000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Yoakum","CITY","DeWitt","1971-10-19T00:00:00.000","50000","Other","Park Improvements","1","1","0","Carried","TBR"
"Upper San Marcos Watershed RECL & FCD","WD","Hays","1972-03-04T00:00:00.000","500000","Other","Flood Control","1","1","0","Carried","TBR"
"Bogata","CITY","Red River","1972-04-22T00:00:00.000","75000","Other","Water","1","1","0","Carried","TBR"
"Valley MUD 2","WD","Cameron","1972-08-04T00:00:00.000","3300000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Cypress-Klein UD","WD","Harris","1972-08-05T00:00:00.000","6325000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Encanto Real UD","WD","Harris","1972-10-14T00:00:00.000","3680000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Harris County MUD 026","WD","Harris","1972-10-24T00:00:00.000","25400000","Programs","Water & Sewer","1","1","0","Carried","TBR"
"Montgomery County MUD 15","WD","Montgomery","1972-11-04T00:00:00.000","6330000","Other","Water, Sewer & Drainage","1","1","0","Carried","TBR"
"Temple","CITY","Bell","1972-11-07T00:00:00.000","1330000","Other","Street","3","1","0","Carried","TBR"
"Temple","CITY","Bell","1972-11-07T00:00:00.000","890000","Other","Street","2","1","0","Carried","TBR"
"Temple","CITY","Bell","1972-11-07T00:00:00.000","110000","Other","Fire Station","1","1","0","Carried","TBR"
"Ballinger","CITY","Runnels","1972-11-28T00:00:00.000","100000","Other","Sewer Imprs","1","1","0","Carried","TBR"
"Burleson County MUD 1","WD","Burleson","1972-12-21T00:00:00.000","2062000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Stanley Lake MUD","WD","Montgomery","1972-12-27T00:00:00.000","6500000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Lago Vista","CITY","Travis","1973-01-13T00:00:00.000","35284660","Other","Water & Sewer","1","1","0","Carried","TBR"
"Montgomery County MUD 16","WD","Montgomery","1973-03-24T00:00:00.000","7000000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Roman Forest PUD 3","WD","Montgomery","1973-07-13T00:00:00.000","2000000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Luce Bayou PUD","WD","Harris","1973-07-13T00:00:00.000","5000000","Other","Water Sewer and Drainage","1","1","0","Carried","TBR"
"Roman Forest Cons MUD","WD","Montgomery","1973-08-04T00:00:00.000","5450000","Other","Water","1","1","0","Carried","TBR"
"Thunderbird UD","WD","Fort Bend","1973-11-30T00:00:00.000","4000000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Brazos ISD","ISD","Austin","1974-03-30T00:00:00.000","4000000","Building","School Building","1","1","0","Carried","TBR"
"Spencer Road PUD","WD","Harris","1974-04-06T00:00:00.000","5155000","Refund","Refunding","1.2","1","0","Carried","TBR"
"Spencer Road PUD","WD","Harris","1974-04-06T00:00:00.000","13930","Other","Water and Sewer","1.1","1","0","Carried","TBR"
"Valley MUD 2","WD","Cameron","1974-07-08T00:00:00.000","78500000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Cibolo","CITY","Guadalupe","1974-08-10T00:00:00.000","50000","Other","Street","NR","1","0","Carried","TBR"
"Harris County MUD 055","WD","Harris","1974-08-31T00:00:00.000","11700000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Blue Ridge West MUD","WD","Fort Bend","1974-10-05T00:00:00.000","16000000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Tattor Road MUD","WD","Harris","1975-01-11T00:00:00.000","1500000","Other","Water and Sewer","1","6","0","Carried","TBR"
"Tarrant County MUD 1","WD","Tarrant","1975-03-03T00:00:00.000","14850000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Sanger ISD","ISD","Denton","1975-03-08T00:00:00.000","1310000","Building","School  Building","1","1","0","Carried","TBR"
"Texas National MUD","WD","Montgomery","1975-04-05T00:00:00.000","3700000","Other","Water","1","1","0","Carried","TBR"
"Carrollton","CITY","Dallas","1975-06-03T00:00:00.000","1400000","Other","Sewer Imprs","1","1","0","Carried","TBR"
"Post Wood MUD","WD","Harris","1975-06-14T00:00:00.000","1600000","Other","Water & Sewer","1","0","0","Carried","TBR"
"Trophy Club MUD 1","WD","Denton","1975-10-07T00:00:00.000","12344217","Other","Water and Sewer","1","1","0","Carried","TBR"
"Harris County MUD 044","WD","Harris","1975-10-18T00:00:00.000","5500000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Webster","CITY","Harris","1976-02-07T00:00:00.000","2700000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Chelford One MUD","WD","Harris","1976-04-03T00:00:00.000","8000000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Chelford City MUD","WD","Harris","1976-06-02T00:00:00.000","10600000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Windfern Forest UD","WD","Harris","1976-07-10T00:00:00.000","19895000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Bridgestone MUD","WD","Harris","1976-08-14T00:00:00.000","4085000","Other","Water & Sewer","1","2","1","Carried","TBR"
"Harris County MUD 044","WD","Harris","1976-08-14T00:00:00.000","2100000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Borger","CITY","Hutchinson","1976-08-31T00:00:00.000","1000000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Gatesville ISD","ISD","Coryell","1976-11-13T00:00:00.000","750000","Building","School  Building","1","1","0","Carried","TBR"
"New Diana ISD","ISD","Upshur","1977-03-19T00:00:00.000","1535000","Building","School  Building","1","1","0","Carried","TBR"
"Bell County WCID 1","WD","Bell","1977-04-02T00:00:00.000","6000000","Other","Sewer Imprs","1","1","0","Carried","TBR"
"Chelford City MUD","WD","Harris","1977-06-11T00:00:00.000","700000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Montgomery County MUD 15","WD","Montgomery","1977-08-13T00:00:00.000","14000000","Other","Water, Sewer & Drainage","1","1","0","Carried","TBR"
"Katy","CITY","Harris","1977-10-01T00:00:00.000","5500000","Renovations","Street","1","1","0","Carried","TBR"
"Katy","CITY","Harris","1977-10-01T00:00:00.000","1900000","Programs","Park","2","1","0","Carried","TBR"
"BEVIL OAKS MUD","WD","Jefferson","1978-01-07T00:00:00.000","900000","Other","Sewer & Solid Waste","1","1","0","Carried","TBR"
"Brushy Creek MUD","WD","Williamson","1978-01-21T00:00:00.000","10000000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Newport MUD","WD","Harris","1978-01-21T00:00:00.000","7790000","Other","Water & Sewer","1.1","1","0","Carried","TBR"
"Newport MUD","WD","Harris","1978-01-21T00:00:00.000","11685000","Refund","Refunding","1.2","1","0","Carried","TBR"
"West Harris County MUD 06","WD","Harris","1978-08-12T00:00:00.000","16000000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Post Wood MUD","WD","Harris","1978-08-19T00:00:00.000","3500000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Bridgestone MUD","WD","Harris","1979-01-06T00:00:00.000","14000000","Other","Water & Sewer","1","2","1","Carried","TBR"
"Harris County MUD 055","WD","Harris","1979-01-06T00:00:00.000","8300000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Castlewood MUD","WD","Harris","1979-04-07T00:00:00.000","8400000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Newport MUD","WD","Harris","1979-04-24T00:00:00.000","21360000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Upshur County","COUNTY","Upshur","1979-05-14T00:00:00.000","500000","Other","Right of Way","1","1","0","Carried","TBR"
"Terranova West MUD","WD","Harris","1979-07-12T00:00:00.000","11000000","Other","Water, Sewer System and Drainage","1","1","0","Carried","TBR"
"Anderson Mill Limited District","WD","Williamson","1979-08-11T00:00:00.000","255000","Other","Fire Station","1.2","1","0","Carried","TBR"
"Anderson Mill Limited District","WD","Williamson","1979-08-11T00:00:00.000","6281000","Other","Water & Sewer","1.1","1","0","Carried","TBR"
"McAllen","CITY","Hidalgo","1979-08-18T00:00:00.000","1000000","Building","Library","4","1","0","Carried","TBR"
"McAllen","CITY","Hidalgo","1979-08-18T00:00:00.000","1300000","Refund","Fire Station Improvements","1","1","0","Carried","TBR"
"McAllen","CITY","Hidalgo","1979-08-18T00:00:00.000","1500000","Other","Park","3","1","0","Carried","TBR"
"McAllen","CITY","Hidalgo","1979-08-18T00:00:00.000","1000000","Building","Police Station","2","1","0","Carried","TBR"
"Southwest Harris County MUD 1","WD","Harris","1979-11-06T00:00:00.000","5700000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Velasco DD","WD","Brazoria","1979-12-15T00:00:00.000","24000000","Other","Levee","1","1","0","Carried","TBR"
"Burkeville ISD","ISD","Newton","1980-01-15T00:00:00.000","3100000","Building","School Building","1","1","0","Carried","TBR"
"Fort Bend County MUD 002","WD","Fort Bend","1980-05-05T00:00:00.000","10175000","Refund","Refunding","1","1","0","Carried","TBR"
"Bacliff MUD","WD","Galveston","1980-05-17T00:00:00.000","531000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Blanco","CITY","Blanco","1980-08-23T00:00:00.000","230000","Other","WW & SS","1","1","0","Carried","TBR"
"Beeville WSD","WD","Bee","1980-12-06T00:00:00.000","13000000","Other","Water","1","1","0","Carried","TBR"
"Sugar Land","CITY","Fort Bend","1981-02-28T00:00:00.000","1175000","Other","Streeet Improvements","1","1","0","Carried","TBR"
"Cypress Hill MUD 1","WD","Harris","1981-04-01T00:00:00.000","9000000","Programs","Water, Sewer & Drainage","1","1","0","Carried","TBR"
"Harris County FWSD 58","WD","Harris","1981-04-04T00:00:00.000","5500000","Other","Water & Sewer","1","1","0","Carried","TBR"
"West Keegans Bayou ID","WD","Fort Bend-Harris","1981-04-04T00:00:00.000","11300000","Other","Drainage Improvements","1","1","0","Carried","TBR"
"Pecan Grove MUD","WD","Fort Bend","1981-04-04T00:00:00.000","43500000","Other","Water & Sewer","1","1","0","Carried","TBR"
"West Harris County MUD 04","WD","Harris","1981-04-04T00:00:00.000","12000000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Chambers County MUD 1","WD","Chambers","1981-04-04T00:00:00.000","13200000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Sportsman's World MUD","WD","Palo Pinto","1981-04-04T00:00:00.000","10000000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Timber Lane UD","WD","Harris","1981-04-04T00:00:00.000","14995000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Trophy Club MUD 1","WD","Denton","1981-04-04T00:00:00.000","5800000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Fort Bend County MUD 030","WD","Fort Bend","1981-04-04T00:00:00.000","24410000","Programs","Water & Sewer","1","1","0","Carried","TBR"
"West Harris County MUD 07","WD","Harris","1981-04-04T00:00:00.000","13000000","Other","Water, Sewer and Drainage","1","1","0","Carried","TBR"
"Block House MUD","WD","Williamson","1981-04-04T00:00:00.000","17325000","Other","Water, Sewer, & Drainage","1","1","0","Carried","TBR"
"Harris County MUD 105","WD","Harris","1981-04-04T00:00:00.000","14500000","Programs","Water & Sewer","1","1","0","Carried","TBR"
"Wells Branch MUD","WD","Travis","1981-04-04T00:00:00.000","15100000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Clay Road MUD","WD","Harris","1981-04-04T00:00:00.000","14665000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Trophy Club MUD 2","WD","Denton","1981-04-04T00:00:00.000","6450000","Other","Water and Sewer","1.1","1","0","Carried","TBR"
"Trophy Club MUD 2","WD","Denton","1981-04-04T00:00:00.000","5800000","Other","Water and Sewer","1.2","1","0","Carried","TBR"
"West Harris County MUD 10","WD","Harris","1981-05-09T00:00:00.000","22000000","Other","Water and Sewer","1","1","0","Carried","TBR"
"West Harris County MUD 09","WD","Harris","1981-05-09T00:00:00.000","11500000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Bilma PUD","WD","Harris","1981-05-16T00:00:00.000","11500000","Other","Water, Sewer & Drainage","1","1","0","Carried","TBR"
"Chimney Hill MUD","WD","Harris","1981-05-28T00:00:00.000","15225000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Bridgestone MUD","WD","Harris","1981-06-06T00:00:00.000","12685000","Other","Water & Sewer","1","2","1","Carried","TBR"
"Northwest Harris County MUD 16","WD","Harris","1981-06-06T00:00:00.000","8685000","Programs","Water, Sewer & Drainage","1","1","0","Carried","TBR"
"Springtown","CITY","Parker","1981-06-15T00:00:00.000","225000","Other","Water","1","1","0","Carried","TBR"
"Barker-Cypress MUD","WD","Harris","1981-06-20T00:00:00.000","15565000","Other","Water & Sewer","1","1","0","Carried","TBR"
"CNP UD","WD","Harris","1981-06-20T00:00:00.000","26255000","Other","W,S & Dr","1","1","0","Carried","TBR"
"Fort Bend County MUD 026","WD","Fort Bend","1981-06-21T00:00:00.000","7500000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Springwoods MUD","WD","Williamson","1981-06-27T00:00:00.000","4220000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Fort Bend County MUD 002","WD","Fort Bend","1981-06-27T00:00:00.000","7570000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Westlake MUD 1","WD","Harris","1981-06-27T00:00:00.000","3250000","Other","Water and Sewer","A","1","0","Carried","TBR"
"Parkway UD","WD","Harris","1981-07-11T00:00:00.000","18750000","Programs","Water & Sewer","1","1","0","Carried","TBR"
"Fort Bend County MUD 019","WD","Fort Bend","1981-07-18T00:00:00.000","4015000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Terrell","CITY","Kaufman","1981-08-01T00:00:00.000","1500000","Other","Water","5","1","0","Carried","TBR"
"Terrell","CITY","Kaufman","1981-08-01T00:00:00.000","200000","Building","Fire Station","1","1","0","Carried","TBR"
"Terrell","CITY","Kaufman","1981-08-01T00:00:00.000","7000000","Other","Street","3","1","0","Carried","TBR"
"Terrell","CITY","Kaufman","1981-08-01T00:00:00.000","1170000","Other","Right-of-Way","4","1","0","Carried","TBR"
"Terrell","CITY","Kaufman","1981-08-01T00:00:00.000","450000","Other","Solid Waste","2","1","0","Carried","TBR"
"Terrell","CITY","Kaufman","1981-08-01T00:00:00.000","500000","Other","Sewer Improvements","6","1","0","Carried","TBR"
"Woodlands Metro Center MUD The","WD","Montgomery","1981-08-04T00:00:00.000","18600000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Spring West MUD","WD","Harris","1981-08-08T00:00:00.000","15500000","Other","Water, Sewer and Drainage","1","1","0","Carried","TBR"
"Richwood","CITY","Brazoria","1981-08-25T00:00:00.000","500000","Other","Water & Sewer","1","0","0","Carried","TBR"
"Lago Vista","CITY","Travis","1981-09-13T00:00:00.000","625000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Addison","CITY","Dallas","1981-10-17T00:00:00.000","4155000","Other","Water Sys Imprs","2","1","0","Carried","TBR"
"Addison","CITY","Dallas","1981-10-17T00:00:00.000","615000","Renovations","Sewer Imprs","3","1","0","Carried","TBR"
"Addison","CITY","Dallas","1981-10-17T00:00:00.000","1000000","Other","Library","1","1","0","Carried","TBR"
"Brazoria County MUD 2","WD","Brazoria","1981-11-03T00:00:00.000","23400000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Harris County MUD 165","WD","Harris","1981-11-03T00:00:00.000","22940000","Other","Water, Sewer & Drainage","A","1","0","Carried","TBR"
"Harris County MUD 166","WD","Harris","1981-11-03T00:00:00.000","17560000","Programs","Water, Sewer & Drainage","A","1","0","Carried","TBR"
"Carrollton","CITY","Dallas","1982-01-16T00:00:00.000","2000000","Other","Swimming Pool","1","1","0","Carried","TBR"
"Irving","CITY","Dallas","1982-01-30T00:00:00.000","45200000","Other","Street","1","1","0","Carried","TBR"
"West Harris County MUD 15","WD","Harris","1982-04-03T00:00:00.000","14000000","Other","Water and Sewer","1","1","0","Carried","TBR"
"West Harris County MUD 17","WD","Harris","1982-04-30T00:00:00.000","7000000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Fort Worth","CITY","Tarrant","1982-05-22T00:00:00.000","77285000","Programs","Street","1","1","0","Carried","TBR"
"Woodcreek MUD","WD","Harris","1982-09-11T00:00:00.000","10500000","Other","Wastewater and Sewer System","1","1","0","Carried","TBR"
"West Park MUD","WD","Harris","1982-09-18T00:00:00.000","25450000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Dowdell PUD","WD","Harris","1982-10-02T00:00:00.000","1930000","Programs","Water & Sewer","1","1","0","Carried","TBR"
"Weston MUD","WD","Harris","1982-10-02T00:00:00.000","40000000","Other","Wastewater, Sewer System and Drainage","1","1","0","Carried","TBR"
"Beechnut MUD","WD","Harris","1982-11-13T00:00:00.000","13500000","Other","Water & Sewer & Refu","1","1","0","Carried","TBR"
"Spring Creek UD","WD","Montgomery","1982-12-18T00:00:00.000","20000000","Other","Water, Sewer and Drainage","1","1","0","Carried","TBR"
"Renn Road MUD","WD","Harris","1983-01-15T00:00:00.000","15625000","Other","Water & Sewer","1","1","0","Carried","TBR"
"South Shore Harbour MUD 3","WD","Galveston","1983-02-05T00:00:00.000","19000000","Other","Water and Sewer","1","1","0","Carried","TBR"
"South Shore Harbour MUD 2","WD","Galveston","1983-02-05T00:00:00.000","18000000","Other","Water and Sewer","1","1","0","Carried","TBR"
"South Shore Harbour MUD 2","WD","Galveston","1983-02-05T00:00:00.000","10300000","Other","Water and Sewer","2","1","0","Carried","TBR"
"Addicks UD","WD","Harris","1983-03-05T00:00:00.000","13600000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Trail of the Lakes MUD","WD","Harris","1983-03-05T00:00:00.000","23500000","Other","Water, Sewer & Drainage","1","1","0","Carried","TBR"
"Webster","CITY","Harris","1983-04-02T00:00:00.000","2650000","Other","Street","1","1","0","Carried","TBR"
"Webster","CITY","Harris","1983-04-02T00:00:00.000","3030000","Other","Drainage Imrovements","5","1","0","Carried","TBR"
"Webster","CITY","Harris","1983-04-02T00:00:00.000","1150000","Other","Street, Drainage and Park","4","1","0","Carried","TBR"
"Webster","CITY","Harris","1983-04-02T00:00:00.000","100000","Building","Police Station and Jail","2","1","0","Carried","TBR"
"Brushy Creek MUD","WD","Williamson","1983-04-02T00:00:00.000","25000000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Webster","CITY","Harris","1983-04-02T00:00:00.000","715000","Building","Fire Station","3","1","0","Carried","TBR"
"Fort Bend County MUD 047","WD","Fort Bend","1983-04-02T00:00:00.000","6410000","Other","Water, Sewer & Drainage","1","1","0","Carried","TBR"
"College Station","CITY","Brazos","1983-08-13T00:00:00.000","1930000","Other","Drainage","1","1","0","Carried","TBR"
"West Harris County MUD 07","WD","Harris","1983-09-03T00:00:00.000","7000000","Other","Water, Sewer and Drainage","1","1","0","Carried","TBR"
"Charterwood MUD","WD","Harris","1983-09-10T00:00:00.000","2885000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Northwest Harris County MUD 10","WD","Harris","1983-10-08T00:00:00.000","21500000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Austin","CITY","Travis-Williamson","1983-10-22T00:00:00.000","48535000","Other","Drainage Imprs","2","1","0","Carried","TBR"
"Austin","CITY","Travis-Williamson","1983-10-22T00:00:00.000","50000000","Other","Hospital","1","1","0","Carried","TBR"
"West Harris County MUD 01","WD","Harris","1983-11-19T00:00:00.000","8965000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Cisco","CITY","Eastland","1983-11-19T00:00:00.000","450000","Other","Sewer Imprs","1","1","0","Carried","TBR"
"Bacliff MUD","WD","Galveston","1983-12-17T00:00:00.000","1250000","Other","Wastewater","1","1","0","Carried","TBR"
"Travis County WCID 20","WD","Travis","1984-01-14T00:00:00.000","8900000","Other","Water","1","1","0","Carried","TBR"
"Huntsville","CITY","Walker","1984-01-21T00:00:00.000","4200000","Renovations","Streets","1","1","0","Carried","TBR"
"Bryan","CITY","Brazos","1984-01-24T00:00:00.000","14525000","Other","Street","1","1","0","Carried","TBR"
"Bryan","CITY","Brazos","1984-01-24T00:00:00.000","7100000","Other","Park","2","1","0","Carried","TBR"
"College Station","CITY","Brazos","1984-01-24T00:00:00.000","700000","Other","Fire Station Imprs","1","1","0","Carried","TBR"
"Bryan","CITY","Brazos","1984-01-24T00:00:00.000","3200000","Other","Railroad","3","1","0","Carried","TBR"
"Bryan","CITY","Brazos","1984-01-24T00:00:00.000","1000000","Other","Landfill","4","1","0","Carried","TBR"
"College Station","CITY","Brazos","1984-01-24T00:00:00.000","6325000","Other","Street","2","1","0","Carried","TBR"
"Fort Bend County MUD 023","WD","Fort Bend","1984-02-25T00:00:00.000","22075000","Other","Water, Sewer & Drainage","1","1","0","Carried","TBR"
"West Harris County MUD 02","WD","Harris","1984-04-07T00:00:00.000","8000000","Other","Water and Sewer","1","1","0","Carried","TBR"
"Harris County MUD 264","WD","Harris","1984-04-07T00:00:00.000","15700000","Other","Water, Sewer & Drainage","1","1","0","Carried","TBR"
"Harris County MUD 026","WD","Harris","1984-08-01T00:00:00.000","9280000","Refund","Refunding","1","1","0","Carried","TBR"
"Addicks UD","WD","Harris","1984-08-11T00:00:00.000","5000000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Austin","CITY","Travis-Williamson","1984-09-08T00:00:00.000","200070000","Other","Street","1","1","0","Carried","TBR"
"Austin","CITY","Travis-Williamson","1984-09-08T00:00:00.000","48535000","Other","Drainage Imprs","2","1","0","Carried","TBR"
"Austin","CITY","Travis-Williamson","1984-09-08T00:00:00.000","9975000","Other","Park","3","1","0","Carried","TBR"
"Brazoria County MUD 1","WD","Brazoria","1984-09-08T00:00:00.000","22700000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Travis County","COUNTY","Travis","1984-09-08T00:00:00.000","157912000","Other","Road","1","1","0","Carried","TBR"
"Garland","CITY","Dallas","1984-10-13T00:00:00.000","3307000","Building","Library","1","1","0","Carried","TBR"
"Cypress Hill MUD 1","WD","Harris","1984-10-13T00:00:00.000","11330000","Programs","Water, Sewer & Drainage","1","1","0","Carried","TBR"
"Big Oaks MUD","WD","Fort Bend","1984-10-27T00:00:00.000","15500000","Other","Water, Sewer & Drainage","1","1","0","Carried","TBR"
"Encanto Real UD","WD","Harris","1984-11-03T00:00:00.000","7000000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Bridgestone MUD","WD","Harris","1984-11-17T00:00:00.000","22327000","Other","Water & Sewer","1","2","1","Carried","TBR"
"Austin","CITY","Travis-Williamson","1985-01-19T00:00:00.000","20285000","Other","Convention Center","1","1","0","Carried","TBR"
"Harris County MUD 257","WD","Harris","1985-04-06T00:00:00.000","18000000","Other","Water, Sewer, & Drainage","1","1","0","Carried","TBR"
"Fort Bend County MUD 047","WD","Fort Bend","1985-04-06T00:00:00.000","4490000","Other","Water & Sewer","1","1","0","Carried","TBR"
"Williamson-Travis Counties MUD 1","WD","Williamson-Travis","1985-06-18T00:00:00.000","25751500","Other","Water and Sewer","1","1","0","Carried","TBR"
"Allen","CITY","Collin","1985-06-22T00:00:00.000","2525000","Other","Library","1","1","0","Carried","TBR"
"Burney Road MUD","WD","Fort Bend","1985-08-10T00:00:00.000","14575000","Other","Water & Sewer","1","1","0","Carried","TBR"
