election_date,contest_name,county,counties,votes_for,votes_against,pct_for,result
2022-11-08,WAKE COUNTY SCHOOL BONDS REFERENDUM,WAKE,WAKE,310225,125907,71.13,Pass
2023-11-07,CHARLOTTE-MECKLENBURG SCHOOLS FACILITIES BONDS REFERENDUM,MECKLENBURG,MECKLENBURG,75785,44301,63.11,Pass
2023-11-07,TOWN OF BEECH MOUNTAIN WATER SYSTEM BONDS REFERENDUM,WATAUGA,WATAUGA;AVERY,149,27,84.66,Pass
2023-11-07,TOWN OF FUQUAY-VARINA PARKS AND RECREATION BONDS REFERENDUM,WAKE,WAKE,2488,3518,41.43,Fail
2023-11-07,TOWN OF HOLLY SPRINGS PARKS AND RECREATION BONDS REFERENDUM,WAKE,WAKE,4685,2708,63.37,Pass
2023-11-07,TOWN OF HUNTERSVILLE PARKS AND RECREATION BONDS REFERENDUM,MECKLENBURG,MECKLENBURG;CABARRUS,7581,2565,74.72,Pass
2023-11-07,TOWN OF HUNTERSVILLE TRANSPORTATION BONDS REFERENDUM,MECKLENBURG,MECKLENBURG;CABARRUS,7877,2268,77.64,Pass
2023-11-07,TOWN OF WENDELL PARKS AND RECREATIONAL FACILITIES BONDS,WAKE,WAKE,1130,530,68.07,Pass
2023-11-07,TOWN OF WENDELL TRANSPORTATION BONDS,WAKE,WAKE,1207,454,72.67,Pass
2024-03-05,VILLAGE OF BALD HEAD ISLAND BEACH IMPROVEMENTS BONDS 13.5,BRUNSWICK,BRUNSWICK,148,51,74.37,Pass
2024-03-05,VILLAGE OF BALD HEAD ISLAND BEACH IMPROVEMENTS BONDS 4.5,BRUNSWICK,BRUNSWICK,132,65,67.01,Pass
2024-03-05,VILLAGE OF MARVIN PARKS AND RECREATION BONDS REFERENDUM,UNION,UNION,357,1555,18.67,Fail
2024-03-05,VILLAGE OF MARVIN TRANSPORTATION BONDS REFERENDUM,UNION,UNION,418,1495,21.85,Fail
2024-11-05,CHOWAN COUNTY PARKS AND RECREATION BONDS REFERENDUM,CHOWAN,CHOWAN,2359,4382,34.99,Fail
2024-11-05,CITY OF ASHEVILLE HOUSING BONDS REFERENDUM,BUNCOMBE,BUNCOMBE,35060,14352,70.95,Pass
2024-11-05,CITY OF ASHEVILLE PARKS AND RECREATION BONDS REFERENDUM,BUNCOMBE,BUNCOMBE,39094,11031,77.99,Pass
2024-11-05,CITY OF ASHEVILLE PUBLIC SAFETY BONDS REFERENDUM,BUNCOMBE,BUNCOMBE,36422,13557,72.87,Pass
2024-11-05,CITY OF ASHEVILLE TRANSPORTATION BONDS REFERENDUM,BUNCOMBE,BUNCOMBE,37519,12382,75.19,Pass
2024-11-05,CITY OF BELMONT TRANSPORTATION BONDS REFERENDUM,GASTON,GASTON,4077,5157,44.15,Fail
2024-11-05,CITY OF BURLINGTON PARKS AND RECREATION BONDS REFERENDUM,ALAMANCE,ALAMANCE;GUILFORD,12472,12217,50.52,Pass
2024-11-05,CITY OF BURLINGTON STREET AND SIDEWALK BONDS REFERENDUM,ALAMANCE,ALAMANCE;GUILFORD,14203,10530,57.43,Pass
2024-11-05,CITY OF CHARLOTTE HOUSING BONDS REFERENDUM,MECKLENBURG,MECKLENBURG,263403,150955,63.57,Pass
2024-11-05,CITY OF CHARLOTTE NEIGHBORHOOD IMPROVEMENT BONDS REFERENDUM,MECKLENBURG,MECKLENBURG,294299,120200,71.0,Pass
2024-11-05,CITY OF CHARLOTTE TRANSPORTATION BONDS REFERENDUM,MECKLENBURG,MECKLENBURG,277122,137283,66.87,Pass
2024-11-05,CITY OF DURHAM PARKS AND RECREATION BONDS REFERENDUM,DURHAM,DURHAM;WAKE;ORANGE,108758,41166,72.54,Pass
2024-11-05,CITY OF DURHAM STREETS AND SIDEWALK BONDS REFERENDUM,DURHAM,DURHAM;WAKE;ORANGE,113982,37354,75.32,Pass
2024-11-05,JOHNSTON COUNTY COMMUNITY COLLEGE BONDS REFERENDUM,JOHNSTON,JOHNSTON,61427,51817,54.24,Pass
2024-11-05,JOHNSTON COUNTY SCHOOL BONDS REFERENDUM,JOHNSTON,JOHNSTON,64157,48903,56.75,Pass
2024-11-05,ORANGE COUNTY SCHOOL BONDS REFERENDUM,ORANGE,ORANGE,56138,27040,67.49,Pass
2024-11-05,TOWN OF CARY HOUSING BONDS REFERENDUM,WAKE,WAKE;CHATHAM;DURHAM,47576,50402,48.56,Fail
2024-11-05,TOWN OF CARY PARKS AND RECREATION BONDS REFERENDUM,WAKE,WAKE;CHATHAM;DURHAM,44091,54114,44.9,Fail
2024-11-05,TOWN OF CHAPEL HILL HOUSING BONDS REFERENDUM,ORANGE,ORANGE;DURHAM,22254,8330,72.76,Pass
2024-11-05,TOWN OF CHAPEL HILL OPEN SPACE GREENWAYS BONDS REFERENDUM,ORANGE,ORANGE;DURHAM,24728,5919,80.69,Pass
2024-11-05,TOWN OF CHAPEL HILL PARKS AND RECREATION BONDS REFERENDUM,ORANGE,ORANGE;DURHAM,24560,6008,80.35,Pass
2024-11-05,TOWN OF CHAPEL HILL PUBLIC BUILDING BONDS REFERENDUM,ORANGE,ORANGE;DURHAM,21578,8720,71.22,Pass
2024-11-05,TOWN OF CHAPEL HILL STREETS AND SIDEWALKS BONDS REFERENDUM,ORANGE,ORANGE;DURHAM,23935,6601,78.38,Pass
2024-11-05,TOWN OF CORNELIUS PARKS AND RECREATION BONDS REFERENDUM,MECKLENBURG,MECKLENBURG,11071,7534,59.51,Pass
2024-11-05,TOWN OF ZEBULON STREETS AND SIDEWALKS BONDS REFERENDUM,WAKE,WAKE,2194,2607,45.7,Fail
2024-11-05,UNION COUNTY SCHOOL BONDS REFERENDUM,UNION,UNION,69742,56332,55.32,Pass
2024-11-05,WAKE COUNTY PUBLIC LIBRARIES BONDS REFERENDUM,WAKE,WAKE,350510,270749,56.42,Pass
2025-10-07,CITY OF NEW BERN PARKS AND RECREATIONAL BONDS REFERENDUM,CRAVEN,CRAVEN,3912,2039,65.74,Pass
2025-10-07,CITY OF NEW BERN STORMWATER BONDS REFERENDUM,CRAVEN,CRAVEN,4590,1483,75.58,Pass
2025-10-07,CITY OF NEW BERN STREET AND SIDEWALK BONDS REFERENDUM,CRAVEN,CRAVEN,4145,1810,69.61,Pass
2025-11-04,TOWN OF HOLDEN BEACH PUBLIC IMPROVEMENT BONDS REFERENDUM,BRUNSWICK,BRUNSWICK,213,351,37.77,Fail
2026-03-03,CITY OF HENDERSONVILLE TRANSPORTATION BONDS REFERENDUM,HENDERSON,HENDERSON,1910,944,66.92,Pass
