Election Date,Agency Name,County,Election Type,Measure Name,Type of Tax/Debt,Amount of Bond/Tax,% Yes,% No,Threshold Value,Election Result,Purpose
11/03/2020 00:00:00,Greenfield Union School District (Kern County),Kern,General,G,General Obligation Bond,21000000,71.45,28.55,55%,Pass,K-12 School Facility
11/03/2020 00:00:00,Lemon Grove,San Diego,General,J,"Tax (Levy, Parcel, Sales, Fee)","Cannabis Tax:  annual rates not to exceed 8% of gross receipts for retail cannabis businesses, and 4% for all other cannabis businesses; which is estimated to generate $560,000 to $1,120,000 annually",71.89,28.11,Majority,Pass,Other Purpose
11/03/2020 00:00:00,Madera,Madera,General,R,"Tax (Levy, Parcel, Sales, Fee)","Cannabis Tax: 6% of gross receipts for retail businesses, 4% of gross receipts for other marijuana businesses, and no more than $10 per square foot for cultivation generating an estimated $720,000 - $1.08 million per year",67.16,32.84,Majority,Pass,Other Purpose
05/05/2020 00:00:00,Blythe,Riverside,Local,K,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: additional 1% sales tax, thereby increasing the total sales tax rate in the city from 7.75% to 8.75% and generating an estimated $1.144 million per year in general fund revenue",70.87,29.13,Majority,Pass,Other Purpose
05/05/2020 00:00:00,Coast Life Support District,Mendocino,Local,J,"Tax (Levy, Parcel, Sales, Fee)","Parcel Tax: increase to $61 per unit of benefit (ranging from $61 to $1,220 per year depending on the property type), thereby generating an estimated $1.18 million per year in revenue",81.13,18.87,Two-thirds,Pass,"Fire, Police Protection/Emergency Medical"
05/05/2020 00:00:00,Hamilton Branch Fire Protetion District,Plumas,Local,A,"Tax (Levy, Parcel, Sales, Fee)",Parcel Tax: increase by $175 per parcel by replacing the existing rate of $108 per parcel with a rate of $283 per parcel,63.36,36.64,Two-thirds,Fail,"Fire, Police Protection/Emergency Medical"
04/14/2020 00:00:00,Lancaster,Los Angeles,Local,B,"Tax (Levy, Parcel, Sales, Fee)","Transient Occupancy Tax: 2% hotel tax, thereby increasing the hotel tax rate in the city from 7% to 9% and generating an estimated $642,537.23 per year",49.24,50.76,Majority,Fail,Other Purpose
04/14/2020 00:00:00,Vernon,Los Angeles,Local,V,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: 0.75% sales tax, increasing the total sales tax rate in the city from 9.5% to 10.25% and generating an estimated $6,000,000 per year in general fund revenue",72.31,27.69,Majority,Pass,Other Purpose
03/03/2020 00:00:00,Poway Unified School District,San Diego,Primary,P,General Obligation Bond,448000000,50.35,49.65,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Moreland School District,Santa Clara,Primary,M,General Obligation Bond,80000000,59.42,40.58,55%,Pass,K-12 School Facility
03/03/2020 00:00:00,Castro Valley Unified School District,Alameda,Primary,I,"Tax (Levy, Parcel, Sales, Fee)",Parcel Tax: $96 per parcel per year for six years ,64.61,35.39,Two-thirds,Fail,K-12 School Facility
03/03/2020 00:00:00,Orange Cove,Fresno,Primary,G,"Tax (Levy, Parcel, Sales, Fee)",Parcel Tax: $36 annual parcel tax ,59.64,40.36,Two-thirds,Fail,"Fire, Police Protection/Emergency Medical"
03/03/2020 00:00:00,Cupertino Union School District,Santa Clara,"Primary ",O,"Tax (Levy, Parcel, Sales, Fee)","Parcel Tax: $125 per parcel for five years, generating an estimated $4.3 million per year in revenue",59.71,40.29,Two-thirds,Fail,K-12 School Facility
03/03/2020 00:00:00,Watsonville,Santa Cruz,Primary,Y,"Tax (Levy, Parcel, Sales, Fee)",Sales Tax: renew 0.5%,78.60,21.40,Two-thirds,Pass,Public Safety
03/03/2020 00:00:00,West Covina,Los Angeles,Primary,WC,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: additional 0.75%, increasing the total sales tax rate in the city to 10.25% and generating an estimated $9.7 million in annual general fund revenue",20.03,79.97,Majority,Fail,Other Purpose
03/03/2020 00:00:00,Ukiah Unified School District,Mendocino,Primary,A,General Obligation Bond,75000000,55.15,44.85,55%,Pass,K-12 School Facility
03/03/2020 00:00:00,Bell,Los Angeles,Primary,TT,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: additional 0.75%, increasing the total sales tax rate from 9.5% to 10.25%",39.80,60.20,Majority,Fail,Other Purpose
03/03/2020 00:00:00,Tustin Unified School District,Orange,Primary,N,General Obligation Bond,215000000,53.71,46.29,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Union City,Alameda,Primary,U,"Tax (Levy, Parcel, Sales, Fee)",Parcel Tax: $168 per parcel for the most residential parcels and varying rates for other parcels,62.51,37.49,Two-thirds,Fail,Public Safety
03/03/2020 00:00:00,State of California,State of California,Primary,Prop 13,General Obligation Bond,15000000000,46.99,53.01,Majority,Fail,K-12 School Facility
03/03/2020 00:00:00,El Monte,Los Angeles,Primary,PC,"Tax (Levy, Parcel, Sales, Fee)","Cannabis Tax: 9% for retail sales, 6% for cultivation and manufacture, and 5% for distribution and testing",71.48,28.52,Two-thirds,Pass,Other Purpose
03/03/2020 00:00:00,McFarland Unified School District,Kern,Primary,B,General Obligation Bond,30000000,58.54,41.46,55%,Pass,K-12 School Facility
03/03/2020 00:00:00,Escondido Union School District,San Diego,Primary,Q,General Obligation Bond,205000000,53.73,46.27,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Burlingame Elementary School District,San Mateo,Primary,O,General Obligation Bond,97000000,60.17,39.83,55%,Pass,K-12 School Facility
03/03/2020 00:00:00,Jurupa Unified School District,Riverside,Primary,E,General Obligation Bond,192000000,46.04,53.96,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Paramount,Los Angeles,Primary,Y,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: additional 0.75%, increasing the total sales tax rate in the city from 9.5% to 10.25% and generating an estimated $4.5 million in annual general fund revenue",71.38,28.62,Majority,Pass,Other Purpose
03/03/2020 00:00:00,Montebello,Los Angeles,Primary,H,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: additional 0.75%, increasing the total sales tax rate to 10.25%, generating an estimated $6 million per year",60.63,39.37,Majority,Pass,Other Purpose
03/03/2020 00:00:00,Lemoore Union High School District,Kings,Primary,L,General Obligation Bond,26000000,44.30,55.70,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Yuba Community College District,Yuba; Sutter,"Primary ",C,General Obligation Bond,228400000,35.05,64.95,55%,Fail,"College, University Facility"
03/03/2020 00:00:00,Victor Elementary School District,San Bernardino,Primary,D,General Obligation Bond,48000000,49.87,50.13,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Palos Verdes Peninsula Unified School District,Los Angeles,Primary,PV,General Obligation Bond,389385000,38.17,61.83,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Riverside Community College District,Riverside,Primary,A,General Obligation Bond,715000000,46.64,53.36,55%,Fail,"College, University Facility"
03/03/2020 00:00:00,Clovis Unified School District,Fresno,Primary,A,General Obligation Bond,408000000,49.57,50.43,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Trinity County,Trinity,Primary,E,"Tax (Levy, Parcel, Sales, Fee)",Parcel Tax: $83 for each improved parcel and $48 for each unimproved parcel ,52.84,47.16,Two-thirds,Fail,"Fire, Police Protection/Emergency Medical"
03/03/2020 00:00:00,Trinity County,Trinity,Primary,A,"Tax (Levy, Parcel, Sales, Fee)",Cannabis Tax: $0.85 per square for cultivation areas that are 2500 square feet or less; $1.45 per square foot for cultivation areas that are 2501 square feet or greater; a gross proceeds tax of 7% on the manufacturing of cultivated cannabis; and a gross proceeds tax of 7% on medicinal or legal cannabis storefronts and collectives,49.93,50.07,Majority,Fail,Other Purpose
03/03/2020 00:00:00,Burbank Unified School District,Los Angeles,Primary,I,"Tax (Levy, Parcel, Sales, Fee)","Parcel Tax: levy for 12 years an annual parcel tax of $0.10 per square foot of improved property, thereby raising an estimated $9.1 million in revenue",64.12,35.88,Two-thirds,Fail,K-12 School Facility
03/03/2020 00:00:00,Emeryville,Alameda,Primary,F,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: 0.25%, beginning July 1, 2020",74.50,25.50,Two-thirds,Pass,"Fire, Police Protection/Emergency Medical"
03/03/2020 00:00:00,Lemon Grove,San Diego,Primary,S,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: 0.75%, raising the total sales tax in the city to 8.5%",42.54,57.46,Majority,Fail,Other Purpose
03/03/2020 00:00:00,San Mateo Union High School District,San Mateo,Primary,L,General Obligation Bond,385000000,57.45,42.55,55%,Pass,K-12 School Facility
03/03/2020 00:00:00,Dublin Unified School District,Alameda,Primary,J,General Obligation Bond,290000000,57.83,42.17,55%,Pass,K-12 School Facility
03/03/2020 00:00:00,Ojai,Ventura,Primary,C,"Tax (Levy, Parcel, Sales, Fee)",Transient Occupancy Tax: increase from 10% to 15%,83.09,16.91,Two-thirds,Pass,Street Construction and Improvements
03/03/2020 00:00:00,Eureka Union School District,Placer,Primary,A,General Obligation Bond,49000000,43.63,56.37,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Western Placer Unified School District,Placer,Primary,D,General Obligation Bond,29000000,33.76,66.24,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Susanville,Lassen,Primary,N,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: 1%, increasing the total tax rate in the city from 7.25% to 8.25%",51.51,48.49,Two-thirds,Fail,Public Safety
03/03/2020 00:00:00,Keppel Union School District,Los Angeles,Primary,SF,General Obligation Bond,17900000,46.52,53.48,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Chico Area Recreation and Park District,Butte,Primary,A,"Tax (Levy, Parcel, Sales, Fee)","Parcel Tax: $85 per parcel, raising an estimated $3 million per year",48.57,51.43,Two-thirds,Fail,"Parks, Open Space"
03/03/2020 00:00:00,San Carlos School District,San Mateo,Primary,N,"Tax (Levy, Parcel, Sales, Fee)",Parcel Tax: increase from $246.60 to $334.60 per parcel for eight years,72.22,27.78,Two-thirds,Pass,K-12 School Facility
03/03/2020 00:00:00,Albany Unified School District,Alameda,Primary,B,"Tax (Levy, Parcel, Sales, Fee)","Parcel Tax: $318 annual parcel tax, adding $130 annually, for six years",83.16,16.84,Two-thirds,Pass,K-12 School Facility
03/03/2020 00:00:00,Beaumont Unified School District,Riverside; San Bernardino,Primary,B,General Obligation Bond,98000000,33.32,66.68,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Wasco Union School District,Kern,Primary,C,General Obligation Bond,16000000,54.01,45.99,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Reedley,Fresno,Primary,B,"Tax (Levy, Parcel, Sales, Fee)",Sales Tax: $0.75,61.96,38.04,Majority,Pass,"Multiple Capital Improvements, Public Works"
03/03/2020 00:00:00,Rim of the World Unified School District,San Bernardino,Primary,A,General Obligation Bond,51500000,47.83,52.17,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,San Francisco Community College District,San Francisco,Primary,A,General Obligation Bond,845000000,72.39,27.61,55%,Pass,"College, University Facility"
03/03/2020 00:00:00,Soquel Union Elementary School District,Santa Cruz,Primary,V,"Tax (Levy, Parcel, Sales, Fee)","Parcel Tax: $96 per parcel for school funding for six years ",63.51,36.49,Two-thirds,Fail,K-12 School Facility
03/03/2020 00:00:00,Chula Vista Elementary School District,San Diego,Primary,M,General Obligation Bond,300000000,55.42,44.58,55%,Pass,K-12 School Facility
03/03/2020 00:00:00,Rescue Union School District,El Dorado,Primary,G,General Obligation Bond,75000000,39.77,60.23,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Novato Unified School District,Marin,Primary,A,"Tax (Levy, Parcel, Sales, Fee)","Parcel Tax: extending the district's existing $251 annual parcel tax through June 30, 2028, and adding $125 per parcel, for a new total annual parcel tax of $376 per parcel",55.39,44.61,Two-thirds,Fail,K-12 School Facility
03/03/2020 00:00:00,Contra Costa Transportation Authority,Contra Costa,Primary,J,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: $0.005 for 35 years, to raise an estimated $103 million",51.69,48.31,Two-thirds,Fail,Public Transit
03/03/2020 00:00:00,Culver City,Los Angeles,Primary,CC,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: 0.5% for 10 years, thereby extending the existing 0.5% tax set to expire in 2023 and keeping the total sales tax rate in the city at 10.25% until 2033",76.93,23.07,Majority,Pass,Other Purpose
03/03/2020 00:00:00,Terra Bella Union Elementary School District,Tulare,Primary,M,General Obligation Bond,5000000,41.33,58.67,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Del Rey Oaks,Monterey,Primary,F,"Tax (Levy, Parcel, Sales, Fee)","Transactions and Use Tax: extend indefinitely the existing 1% transactions and use tax that provides approximately $600,000 annually in revenue",71.59,28.41,Majority,Pass,Other Purpose
03/03/2020 00:00:00,Escalon,San Joaquin,Primary,S,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: 0.5% for ten years, generating approximately $280,000 annually",56.39,43.61,Two-thirds,Fail,"Fire, Police Protection/Emergency Medical"
03/03/2020 00:00:00,Isleton,Sacramento,Primary,D,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: increase from 0.5% to 0.75%, thereby increasing the total sales tax rate from 8.75% to 9.0%",62.63,37.37,Two-thirds,Fail,"Fire, Police Protection/Emergency Medical"
03/03/2020 00:00:00,Central Unified School District,Fresno,Primary,C,General Obligation Bond,120000000,54.88,45.12,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Morgan Hill Unified School District,Santa Clara,Primary,I,General Obligation Bond,900000000,39.12,60.88,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Berryessa Union School District,Santa Clara,Primary,U,General Obligation Bond,98000000,58.35,41.65,55%,Pass,K-12 School Facility
03/03/2020 00:00:00,El Dorado Union High School District,El Dorado,Primary,A,General Obligation Bond,120000000,38.63,61.37,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Roseland Elementary School District,Sonoma,Primary,D,General Obligation Bond,9400000,62.58,37.42,55%,Pass,K-12 School Facility
03/03/2020 00:00:00,Piedmont,Alameda,Primary,T,"Tax (Levy, Parcel, Sales, Fee)","Parcel Tax: initial rates between $551 and $930 per parcel for single family residences, $930 to $1,395 per developed commercial parcel, $383 per dwelling unit for multi-family residences, or $565 per parcel for parcels divided by tax code area line",82.99,17.01,Two-thirds,Pass,General Government
03/03/2020 00:00:00,San Gabriel,Los Angeles,Primary,SG,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: additional 0.75%, increasing the total sales tax rate in the city to 10.25% and generating an estimated $3 million in annual general fund revenue",64.33,35.67,Majority,Pass,Other Purpose
03/03/2020 00:00:00,Lakewood,Los Angeles,"Primary ",L,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: additional 0.75%, increasing the total sales tax rate from 9.5% to 10.25%",64.35,35.65,Majority,Pass,Other Purpose
03/03/2020 00:00:00,Monterey Park,Los Angeles,Primary,GG,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: additional 0.75%, increasing the total sales tax rate from 9.5% to 10.25%, raising an estimated $4 million in general fund revenue",31.01,68.99,Majority,Fail,Other Purpose
03/03/2020 00:00:00,Cerritos,Los Angeles,Primary,C,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: additional 0.75%, increasing the total sales tax rate from 9.5% to 10.25%",32.53,67.47,Majority,Fail,Other Purpose
03/03/2020 00:00:00,Artesia,Los Angeles,Primary,AA,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: additional 0.75%, increasing the total sales tax rate to 10.25%",49.05,50.95,Majority,Fail,Other Purpose
03/03/2020 00:00:00,Artesia,Los Angeles,Primary,BB,"Tax (Levy, Parcel, Sales, Fee)",Transient Occupancy Tax: increase the local hotel tax rate from 12.5% to 15%,46.43,53.57,Majority,Fail,Other Purpose
03/03/2020 00:00:00,Siskiyou County,Siskiyou,Primary,A,"Tax (Levy, Parcel, Sales, Fee)","Transient Occupancy Tax: also known as the hotel tax, from 8% to 12%",54.03,45.97,Majority,Pass,"Fire, Police Protection/Emergency Medical"
03/03/2020 00:00:00,Yucaipa,San Bernardino,Primary,E,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: increase by 0.5%, increasing the total rate to 8.25%",35.96,64.04,Majority,Fail,Other Purpose
03/03/2020 00:00:00,San Marino Unified School District,Los Angeles,Primary,S,General Obligation Bond,200000000,41.15,58.85,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Val Verde Unified School District,Riverside,Primary,C,General Obligation Bond,192000000,61.55,38.45,55%,Pass,K-12 School Facility
03/03/2020 00:00:00,La Canada Unified School District,Los Angeles,Primary,LC,"Tax (Levy, Parcel, Sales, Fee)",Parcel Tax: continue an expiring annual parcel tax of $450 per parcel until ended by voters,70.67,29.33,Two-thirds,Pass,K-12 School Facility
03/03/2020 00:00:00,Salida Union School District,Stanislaus,Primary,L,General Obligation Bond,20000000,44.54,55.46,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Salida Union School District,Stanislaus,Primary,M,General Obligation Bond,24700000,44.70,55.30,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Lompoc,Santa Barbara,Primary,I2020,"Tax (Levy, Parcel, Sales, Fee)",Sales Tax: increase by 1% for 15 years,69.37,30.63,Majority,Pass,Other Purpose
03/03/2020 00:00:00,La Verne,Los Angeles,Primary,LV,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: additional 0.75%, increasing the total sales tax rate from 9.5% to 10.25%",54.36,45.64,Majority,Pass,Other Purpose
03/03/2020 00:00:00,Las Virgenes Unified School District,Los Angeles; Ventura,Primary,V,General Obligation Bond,198000000,54.83,45.17,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Las Virgenes Unified School District,Los Angeles; Ventura,Primary,E,General Obligation Bond,198000000,46.11,53.89,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Long Beach,Los Angeles,Primary,B,"Tax (Levy, Parcel, Sales, Fee)","Transient Occupancy Tax: increase rate from 6% to 7%, paid for by hotel/motel guests, generating approximately $2.8 million dollars annually, until ended by voters",59.21,40.79,Majority,Pass,Theatre/Arts/Museums
03/03/2020 00:00:00,Long Beach,Los Angeles,Primary,A,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: continue an additional sales tax beyond the existing expiration date of 2027 and adjust the existing scheduled tax rates to be 1% through 2023, 0.75% from 2023 through 2027, and 1% thereafter, thereby generating an estimated $60 million in general fund revenue",50.01,49.99,Majority,Pass,Other Purpose
03/03/2020 00:00:00,Mendocino County,Mendocino,Primary,D,"Tax (Levy, Parcel, Sales, Fee)",Transient Occupancy Tax: impose a 10% tax on visitors staying in private campgrounds or recreational vehicle parks located in unincorporated areas of the county,57.85,42.15,Majority,Pass,Other Purpose
03/03/2020 00:00:00,Cajon Valley Union School District,San Diego,Primary,L,General Obligation Bond,220000000,45.91,54.09,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Eureka City School District,Humboldt,Primary,T,General Obligation Bond,18000000,56.77,43.23,55%,Pass,K-12 School Facility
03/03/2020 00:00:00,Hawaiian Gardens,Los Angeles,Primary,HG,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: additional 0.75%, thereby increasing the total sales tax rate from 9.5% to 10.25%",60.72,39.28,Majority,Pass,Other Purpose
03/03/2020 00:00:00,Gardena,Los Angeles,Primary,G,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: additional 0.75%, thereby increasing the total sales tax rate to 10.25%",64.30,35.70,Majority,Pass,Other Purpose
03/03/2020 00:00:00,Fullerton School District,Orange,Primary,J,General Obligation Bond,198000000,48.41,51.59,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Fresno Unified School District,Fresno,Primary,M,General Obligation Bond,325000000,59.77,40.23,55%,Pass,K-12 School Facility
03/03/2020 00:00:00,Fullerton Joint Union High School District,Orange; Los Angeles,Primary,K,General Obligation Bond,310000000,47.28,52.72,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Fremont Unified School District,Alameda,Primary,L,"Tax (Levy, Parcel, Sales, Fee)",Parcel Tax: $296 per parcel for nine years,54.86,45.14,Two-thirds,Fail,K-12 School Facility
03/03/2020 00:00:00,Jefferson Union High School District,San Mateo,Primary,J,General Obligation Bond,28390000,63.08,36.92,55%,Pass,K-12 School Facility
03/03/2020 00:00:00,Kern County,Kern,Primary,D,"Tax (Levy, Parcel, Sales, Fee)","Cannabis Tax: 3.75% special business tax per every $1,000 of gross income",41.73,58.27,Majority,Fail,Other Purpose
03/03/2020 00:00:00,Kern County,Kern,Primary,E,"Tax (Levy, Parcel, Sales, Fee)","Cannabis Tax: 3.5% special business tax per every $1,000 of gross income",43.56,56.44,Majority,Fail,Other Purpose
03/03/2020 00:00:00,Duarte,Los Angeles,Primary,D,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: additional 0.75%, thereby increasing the total sales tax rate to 10.25%",54.85,45.15,Majority,Pass,Other Purpose
03/03/2020 00:00:00,East Side Union High School District,Santa Clara,Primary,J,General Obligation Bond,60000000,52.45,47.55,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Davis,Yolo,Primary,Q,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: extending the city's 1% tax beyond December 31, 2020",82.53,17.47,Majority,Pass,Other Purpose
03/03/2020 00:00:00,Capistrano Unified School District,Orange,Primary,H,General Obligation Bond,120000000,44.46,55.84,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Capistrano Unified School District,Orange,Primary,I,General Obligation Bond,300000000,45.77,54.23,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Carmel-By-The-Sea,Monterey,Primary,C,"Tax (Levy, Parcel, Sales, Fee)",Sales Tax: increasing the city's sales tax from 1% to 1.5% for 20 years,60.53,39.47,Majority,Pass,Other Purpose
03/03/2020 00:00:00,San Dimas,Los Angeles,Primary,SD,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: additional 0.75%, increasing the total sales tax rate in the city to 10.25% and generating an estimated $4.7 million in annual general fund revenue",38.52,61.48,Majority,Fail,Other Purpose
03/03/2020 00:00:00,Coachella Valley Unified School District,Riverside; Imperial,Primary,G,General Obligation Bond,230000000,52.29,47.71,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Whittier,Los Angeles,Primary,W,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: additional 0.75%, increasing the total sales tax rate in the city to 10.25% and generating an estimated $6.375 million in annual general fund revenue",57.22,42.78,Majority,Pass,Other Purpose
03/03/2020 00:00:00,Brea Olinda Unified School District,Orange,Primary,G,General Obligation Bond,123000000,46.01,53.99,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Berkeley Unified School District,Alameda,Primary,G,General Obligation Bond,380000000,80.52,19.48,55%,Pass,K-12 School Facility
03/03/2020 00:00:00,Berkeley Unified School District,Alameda,Primary,H,"Tax (Levy, Parcel, Sales, Fee)",Parcel Tax: $0.091 per square foot on improvements and $20 per parcel on unimproved parcels for 10 years,83.74,16.26,Two-thirds,Pass,K-12 School Facility
03/03/2020 00:00:00,Berkeley Unified School District,Alameda,Primary,E,"Tax (Levy, Parcel, Sales, Fee)",Parcel Tax: $0.124 per square foot on improvements and $25 per parcel on unimproved parcels for 12 years,80.51,19.49,Two-thirds,Pass,K-12 School Facility
03/03/2020 00:00:00,Azusa,Los Angeles,Primary,Z,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: additional 0.75%, increasing the total sales tax rate from 9.5% to 10.25%",62.32,37.68,Majority,Pass,Other Purpose
03/03/2020 00:00:00,Barstow,San Bernardino,Primary,F,"Tax (Levy, Parcel, Sales, Fee)",Cannabis Tax: 15% on cannabis businesses gross receipts and on property used for cultivation,55.58,44.42,Two-thirds,Fail,Other Purpose
03/03/2020 00:00:00,Alameda County,Alameda,Primary,C,"Tax (Levy, Parcel, Sales, Fee)",Sales Tax: 0.5% for 20 years,64.35,35.65,Majority,Pass,Health Care Facilities
03/03/2020 00:00:00,Antioch Unified School District,Contra Costa,Primary,T,General Obligation Bond,105000000,54.62,45.38,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Stanislaus Union School District,Stanislaus,Primary,J,General Obligation Bond,21400000,50.95,49.05,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Alhambra,Los Angeles,Primary,AL,"Tax (Levy, Parcel, Sales, Fee)",Sales Tax: additional 0.75% sales tax,63.66,36.34,Majority,Pass,Other Purpose
03/03/2020 00:00:00,Avalon,Los Angeles,Primary,SS,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: additional 0.25%, increasing the total sales tax rate from 10% to 10.25%",35.31,64.69,Majority,Fail,Other Purpose
03/03/2020 00:00:00,Atwater,Merced,Primary,O,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: renew and increase the tax for emergency services from 0.5% to 1.0%, thereby increasing the total rate in the city to 8.75%, providing approximately $4,000,000 annually, until ended by voters",59.57,40.43,Two-thirds,Fail,Public Safety
03/03/2020 00:00:00,Monterey,Monterey,Primary,G,"Tax (Levy, Parcel, Sales, Fee)",Sales Tax: increasing the city's sales tax by 0.5 percentage points for nine years,63.43,36.57,Majority,Pass,Other Purpose
03/03/2020 00:00:00,Imperial Unified School District,Imperial,Primary,P,General Obligation Bond,30000000,47.41,52.59,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Washington Unified School District (Fresno County),Fresno,Primary,H,General Obligation Bond,46000000,53.67,46.33,55%,Fail,K-12 School Facility
03/03/2020 00:00:00,Franklin-McKinley School District,Santa Clara,Primary,R,General Obligation Bond,80000000,65.72,34.28,55%,Pass,K-12 School Facility
03/03/2020 00:00:00,Tuolumne County,Tuolumne,Primary,P,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: additional 1% in unincorporated areas of the county, thereby increasing the total sales tax rate in the county from 7.25% to 8.25% and generating an estimated $4.5 million per year",29.68,70.32,Majority,Fail,Other Purpose
03/03/2020 00:00:00,Tuolumne County,Tuolumne,Primary,Q,"Tax (Levy, Parcel, Sales, Fee)","Transient Occupancy Tax: increase from 10% to 12%, generating an estimated $1.85 million in general fund revenue",46.37,53.63,Majority,Fail,Other Purpose
03/03/2020 00:00:00,Tehama County,Tehama,Primary,G,"Tax (Levy, Parcel, Sales, Fee)",Sales Tax: 1% for a period of 10 years,16.16,83.84,Majority,Fail,Other Purpose
03/03/2020 00:00:00,Torrance,Los Angeles,Primary,X,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: additional 0.75%, increasing the total sales tax rate in the city to 10.25% and generating an estimated $30 million in annual general fund revenue",41.64,58.36,Majority,Fail,Other Purpose
03/03/2020 00:00:00,Sonoma County,Sonoma,Primary,G,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: 0.5%, in addition to the existing sales tax",64.84,35.16,Two-thirds,Fail,"Fire, Police Protection/Emergency Medical"
03/03/2020 00:00:00,Shasta County,Shasta,Primary,A,"Tax (Levy, Parcel, Sales, Fee)",Sales Tax: 1%,48.50,51.50,Two-thirds,Fail,Public Safety
03/03/2020 00:00:00,Scotts Valley,Santa Cruz,Primary,Z,"Tax (Levy, Parcel, Sales, Fee)","Sales Tax: 1.25%, thereby increasing the total tax rate to 9.75%",64.28,35.72,Majority,Pass,Other Purpose
03/03/2020 00:00:00,San Jose,Santa Clara,Primary,E,"Tax (Levy, Parcel, Sales, Fee)","Property Transfer Tax: 0.75% for property valued between $2 million and $5 million, 1.0% for property valued between $5,000,000.01 and $10 million, and 1.5% for property valued over $10 million",53.46,46.54,Majority,Pass,Multifamily Housing
03/03/2020 00:00:00,San Leandro Unified School District,Alameda,Primary,N,General Obligation Bond,198000000,63.90,36.10,55%,Pass,K-12 School Facility
