Election Date,Agency Name,County,Election Type,Measure Name,Type of Tax/Debt,Amount of Bond/Tax,% Yes,% No,Threshold Value,Election Result,Purpose
06/02/2026 00:00:00,San Rafael,Marin,Primary,K,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Extending the library services parcel tax at $74.18 per parcel (with multifamily parcels adding $12.54 per unit, to a maximum of $1,259), generating approximately $1,267,000 annually for nine years.",75.29,24.71,Two-thirds,Pass,"Other, Multiple Educational Uses (Equipment, etc.)"
06/02/2026 00:00:00,Monterey,Monterey,Primary,D,"Tax (Levy, Parcel, Sales, Fee)","Sales tax: Enacting a 0.375 percent sales tax that expires in nine years, with all funds locally controlled, with public reports / independent audits, providing approximately $4,500,000 annually.",48.95,51.05,Majority,Fail,"Fire, Police Protection/Emergency Medical"
06/02/2026 00:00:00,Franklin-McKinley School District,Santa Clara,Primary,C,General Obligation Bond,"$142,000,000",58.16,41.84,55%,Pass,K-12 School Facility
06/02/2026 00:00:00,Bell,Los Angeles,Primary,BB,"Tax (Levy, Parcel, Sales, Fee)","Sales tax: Establishing a 1 cent sales tax, generating approximately $3,500,000 annually until ended by voters.",61.11,38.89,Majority,Pass,General Government
06/02/2026 00:00:00,Commerce,Los Angeles,Primary,PC,"Tax (Levy, Parcel, Sales, Fee)","Sales tax: ¼- cent (0.25%) transactions and use (sales) tax, providing approximately $4.5 million annually.",72.92,27.08,Majority,Pass,General Government
06/02/2026 00:00:00,Castro Valley Unified School District,Alameda,Primary,B,General Obligation Bond,"$212,000,000",51.93,48.07,55%,Fail,K-12 School Facility
06/02/2026 00:00:00,Palo Alto Unified School District,Santa Clara,Primary,B,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Renewing the expiring school parcel tax at a reduced rate ($800 per parcel) for four years, with senior exemptions, independent citizen oversight, and with all funds (approximately $14.6 million annually).",62.44,37.56,Two-thirds,Fail,K-12 School Facility
06/02/2026 00:00:00,Gonzales,Monterey,Primary,B,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Annual parcel tax of $349.00/single-family unit, $262.00/multi-unit, $148-$201 plus $.07 per building square foot for non-residential parcels, adjusted annually, providing approximately $665,000 per year.",47.64,52.36,Two-thirds,Fail,"Fire, Police Protection/Emergency Medical"
06/02/2026 00:00:00,Compton Unified School District,Los Angeles,Primary,CPT,General Obligation Bond,"$360,000,000",57.57,42.43,55%,Pass,K-12 School Facility
06/02/2026 00:00:00,Piedmont Unified School District,Alameda,Primary,H,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Renewing the expiring school parcel tax at the then current rate ($3,174 per parcel) until ended by voters, with independent citizen oversight, annual inflation adjustments, and all funds (approximately $12 million annually).",82.42,17.58,Two-thirds,Pass,K-12 School Facility
06/02/2026 00:00:00,South Pasadena Unified School District,Los Angeles,Primary,SP,General Obligation Bond,"$128,000,000",76.73,23.27,55%,Pass,K-12 School Facility
06/02/2026 00:00:00,Mammoth Unified School District,Mono,Primary,N,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax $99 per parcel raising $1.1 million annually for seven years with annual inflation adjustments, independent oversight, audits, and exemptions for senior citizens' primary residences.",58.34,41.66,Two-thirds,Fail,K-12 School Facility
06/02/2026 00:00:00,Ravenswood City School District,San Mateo,Primary,A,General Obligation Bond,"$70,000,000",69.95,30.05,55%,Pass,K-12 School Facility
06/02/2026 00:00:00,Plumas County,Plumas,Primary,B,"Tax (Levy, Parcel, Sales, Fee)","Sales tax: Enacting a one percent (1.0%) transactions and use tax providing approximately $3,000,000 annually.",30.04,69.96,Majority,Fail,"Multiple Capital Improvements, Public Works"
06/02/2026 00:00:00,Soledad,Monterey,Primary,A,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Annual parcel tax of $233.00/single-family unit, $174.00/multi-unit, $99.00-$134.00 plus $.07 per building square foot for non-residential parcels, adjusted yearly by 3% or less, providing $1,000,000 annually.",47.96,52.04,Two-thirds,Fail,"Fire, Police Protection/Emergency Medical"
06/02/2026 00:00:00,Bell Gardens,Los Angeles,Primary,BG,"Tax (Levy, Parcel, Sales, Fee)",Sales tax: The City's current 3/4% transactions (sales) and use tax rate be increased by a quarter percent to 1 % to raise an additional $1.2 million annually.,56.83,43.17,Majority,Pass,General Government
06/02/2026 00:00:00,Little Lake City School District,Los Angeles,Primary,LR,General Obligation Bond,"$45,000,000",57.60,42.40,55%,Pass,K-12 School Facility
06/02/2026 00:00:00,Little Lake City School District,Los Angeles,Primary,LS,General Obligation Bond,"$45,000,000",57.39,42.61,55%,Pass,K-12 School Facility
06/02/2026 00:00:00,Novato Unified School District,Marin,Primary,G,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: $249 per parcel, providing $4,000,000 annually, for 8 years.",66.01,33.99,Two-thirds,Fail,K-12 School Facility
06/02/2026 00:00:00,Oakley Union Elementary School District,Contra Costa,Primary,K,General Obligation Bond,"$64,000,000",44.37,55.63,55%,Fail,K-12 School Facility
06/02/2026 00:00:00,Oakley Union Elementary School District,Contra Costa,Primary,J,General Obligation Bond,"$59,000,000",43.56,56.44,55%,Fail,K-12 School Facility
06/02/2026 00:00:00,"Fairfax, Town of",Marin,Primary,J,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: Replace the expiring $75 parcel tax with a $150 annual parcel tax for four years beginning 2026, raising about $210,000 annually, with annual increases up to 3%.",62.88,37.12,Majority,Pass,"Multiple Capital Improvements, Public Works"
06/02/2026 00:00:00,Kingsburg,Fresno,Primary,A,"Tax (Levy, Parcel, Sales, Fee)","Parcel tax: To renew funding to be used only for public safety services to prevent drastic reductions of police officers/firefighters/paramedics, including a second 24/7 ambulance, support School Resource Officers, maintain safety equipment, and enhance 911 emergency response; raising $2.6 million annually.",77.85,22.15,Two-thirds,Pass,"Fire, Police Protection/Emergency Medical"
