k,rbc,ci_lo,ci_hi,conventional
-2,0.030027465441577694,-0.028459518526512434,0.08851444940966782,0.006776520077518097
-1,0.021433546000908826,-0.03642508532245809,0.07929217732427574,0.021930804394680842
0,0.24605887020415715,0.15875371294635826,0.33336402746195604,0.23607804514530673
1,-0.005076470231728469,-0.07894898384842915,0.06879604338497221,-0.008247117983733926
2,-0.04561777152098878,-0.11602419183247037,0.024788648790492807,-0.03294556612521771
3,-0.03545730313244232,-0.09512524899896077,0.02421064273407613,-0.023516496245652677
4,0.005212533366737868,-0.04866729451388798,0.059092361247363716,-0.00014419797421179326
5,-0.009746718380922836,-0.06382792109742302,0.04433448433557736,-0.006202784691987359
