outcome,rbc,ci_lo,ci_hi,p_robust,conventional,h,n_left,n_right
"Any new-money issue, year $t{-}2$",0.0300,-0.0285,0.0885,0.3143,0.0068,10.0,1596,2743
"Any new-money issue, year $t{-}1$",0.0214,-0.0364,0.0793,0.4678,0.0219,10.0,1596,2743
"ln(1+LTD issued p.c., $t{-}3..t{-}1$)",0.5296,-0.2557,1.3150,0.1862,0.4123,10.0,1495,2553
ln population,0.3195,-0.5212,1.1602,0.4563,0.1423,10.0,252,497
ln enrolment (schools),-0.0354,-0.3433,0.2725,0.8216,-0.0013,10.0,1285,2130
Homeownership share,-0.0053,-0.0276,0.0170,0.6413,0.0008,10.0,1596,2742
ln median household income,0.0649,0.0037,0.1261,0.0377,0.0405,10.0,1596,2742
Share aged 65+,-0.0044,-0.0141,0.0052,0.3701,-0.0017,10.0,1596,2742
Prior failed measure $\le$4y,-0.0177,-0.1042,0.0689,0.6890,-0.0162,10.0,1596,2743
