split,group,conversions,"median pass→first issue (y, n)",issued ≤6y of pass (n),issued ≤8y of failure (n)
**A · within schools (route choice — selection flagged)**,,,,,
,"schools, 55% return (rate-capped)",118,4.93 (64),35.6% (104),34.6% (104)
,"schools, 66.7% return (uncapped)",9,9.74 (8),22.2% (9),33.3% (9)
"**B · cross-class (regime ⊥̸ entity — CONFOUNDED, flagged)**",,,,,
,schools (capped 55),118,4.93 (64),35.6% (104),34.6% (104)
,non-schools (uncapped 66.7),5,12.59 (2),25.0% (4),25.0% (4)
