horizon_years,rbc,ci_lo,ci_hi,conventional
1,0.278398710329532,0.18671008580628407,0.37008733485277995,0.27851833199987674
2,0.16469651792160833,0.0692776067683882,0.26011542907482843,0.19194863417711155
3,0.12684096734029537,0.03130361236212764,0.2223783223184631,0.16208204426740058
4,0.11476559593132618,0.01985772355238645,0.2096734683102659,0.14955996136275929
5,0.10323613761063521,0.009531630376714145,0.19694064484455628,0.13481984699504845
6,0.11676578927704373,0.023672141589006643,0.2098594369650808,0.14300389210847908
