outcome,rbc,ci_lo,ci_hi,p_robust,conventional,h,n_left,n_right
Texas (50\%),0.1337,0.0115,0.2560,0.0320,0.1413,10.0,892,1398
California schools (55\%),0.0586,-0.1537,0.2709,0.5887,0.1052,10.0,261,692
California non-school (66.7\%),0.2945,0.0482,0.5408,0.0191,0.2597,10.0,166,164
Wisconsin (50\%),0.1671,-0.0213,0.3556,0.0822,0.2122,10.0,221,345
Louisiana (50\%),-0.3960,-0.7959,0.0039,0.0523,-0.2763,10.0,40,89
North Carolina (50\%),-0.2094,-1.3526,0.9337,0.7195,0.2161,10.0,16,53
